"DATES" "FL104090005.Q" "FL103091003.Q" "FL103020003.Q" "FL103030003.Q" "FL103034003.Q" "FL102050003.Q" "FL104004005.Q" "FL103069100.Q" "FL103061103.Q" "FL103061703.Q" "FL103062003.Q" "FL103065003.Q" "FL103066005.Q" "FL103064203.Q" "FL103070005.Q" "FL103090005.Q" "FL103092005.Q" "FL103076003.Q" "FL103092403.Q" "FL103094105.Q" "FL103093005.Q" "FL104190005.Q" "FL104104005.Q" "FL103169100.Q" "FL103162005.Q" "FL103163003.Q" "FL103168005.Q" "FL103169005.Q" "FL103165005.Q" "FL103170005.Q" "FL103178000.Q" "FL103190005.Q" "FL103192005.Q" "FL573074005.Q" "FL103193005.Q" "FL103075005.Q" "FL103164103.Q" "FL104120005.Q" "FL104140005.Q" "FL104150005.Q" "FL104001005.Q"
"197304" 571033 3329 46315 16623 0 11262 42911 14876 2482 2035 4038 324 19156 775 269317 180501 120302 15689 0 0 44510 760753 495610 8382 2430 206909 137050 36223 104616 228428 19305 17410 14587 2697 126 40889 809377 313955 181655 429388 101735
"197401" 584015 3729 42253 18791 0 12472 42611 16212 968 2330 4569 397 18135 785 281929 181445 119192 16208 0 0 46045 778251 507951 9235 2841 210614 140999 37933 106329 228286 22325 19689 16394 2791 504 53643 784167 319784 188167 438778 102109
"197402" 598404 3529 42598 19179 0 10046 43591 15131 1492 2607 4558 471 19332 794 297374 181293 121047 16742 0 0 43504 807680 527545 9967 3265 216000 151911 39203 107199 238995 21308 19832 16904 2718 210 58379 723296 326464 201081 461384 99934
"197403" 616555 3129 45449 19045 0 8630 46922 16933 1981 3080 4593 617 19718 804 305285 187291 125217 17281 0 0 44793 833923 537087 12569 3596 220192 154937 41187 104606 248794 25444 22598 18485 2459 1653 56491 540407 328394 208694 482932 103644
"197404" 615384 4946 47772 20464 0 5485 47762 16520 2613 2953 4654 746 20276 816 245519 242620 128224 17816 0 0 96580 764624 551556 12513 4078 226579 159407 44877 104102 165205 24516 23347 19295 2670 1383 80314 557581 334759 216797 406518 106223
"197501" 740057 2170 52231 19761 0 1453 51144 6255 6488 3999 6229 9247 18926 832 262584 349882 132008 18359 0 500 199015 1033896 555004 14009 4508 236009 150758 45734 103985 153059 22901 302932 19409 3035 280488 109525 684902 344502 210502 386462 99418
"197502" 758866 1739 54311 21958 0 794 54759 6685 8123 3555 7296 9397 19703 851 269070 355384 135936 18902 0 1000 199546 1048466 560965 11658 5319 244281 148302 46131 105274 153416 18582 315503 20178 3436 291889 115654 791599 354874 206091 378089 105312
"197503" 762468 1760 53584 24292 0 813 54992 7267 9192 3484 5419 9547 20083 871 285011 341145 137066 19456 0 1500 183123 1073241 563070 11780 5920 247958 143695 46566 107152 163619 20917 325635 20163 3431 302041 121392 701690 361030 202040 386576 106682
"197504" 773405 2622 58272 24130 0 1189 61654 8371 14264 3264 4846 9697 21212 890 271441 353207 141045 20043 0 2000 190119 1086949 571327 9616 6678 253783 143514 48875 108860 176372 22292 316958 21490 3665 291804 95069 754817 369321 202005 400669 117848
"197601" 808562 3182 58428 24945 0 3107 65925 9324 19259 3088 4084 9864 20306 912 290075 361988 144667 20792 0 2250 194279 1113916 574053 10926 6985 260254 135870 51814 108204 167962 25583 346318 22848 3965 319505 122113 868179 375443 198610 392155 126329
"197602" 839471 3298 59066 26347 0 1329 67357 9073 20432 3029 3474 10030 21319 942 305080 376052 146557 21637 0 2500 205358 1139562 587620 11818 7487 265211 138280 53961 110864 176210 22915 352817 23733 3984 325100 128870 887651 383562 204059 403184 126990
"197603" 860588 2709 58507 25462 0 1961 67005 9486 18534 3018 3984 10199 21784 964 317988 385992 149422 22530 0 2750 211290 1172262 595491 10889 8360 270908 137237 54972 113125 182625 26002 368145 24531 4032 339582 135363 897275 392393 203098 411725 124625
"197604" 863119 3439 62967 28783 0 1459 73021 10511 21547 2868 4228 10367 23500 964 302449 390037 211984 23424 0 3000 151629 1189321 612073 11049 9163 276614 140072 59732 115443 195180 27790 354278 43001 4130 307148 107269 927300 401220 210853 433823 136766
