"DATES" "FL754090005.Q" "FL753013003.Q" "FL754005005.Q" "FL753069603.Q" "FL753061103.Q" "FL753061703.Q" "FL753062003.Q" "FL753063003.Q" "FL753068005.Q" "FL753065005.Q" "FL753067000.Q" "FL753064103.Q" "FL293169750.Q" "FL753093005.Q" "FL754190005.Q" "FL754110005.Q" "FL754116005.Q" "FL754112005.Q" "FL753127005.Q" "FL753131005.Q" "FL753135005.Q" "FL752150000.Q" "FL753169600.Q" "FL753190005.Q" "FL753192003.Q" "FL753194503.Q" "FL753193005.Q" "FL754004005.Q"
"198603" 166382 1965 117335 1095 6298 2378 0 10125 84938 6993 5423 85 24677 22405 171173 46697 7832 38865 7660 4120 34287 12745 27909 37755 12669 24477 609 136504
"198604" 186438 2606 135412 1026 6876 2589 0 11328 97738 8675 7083 97 23777 24643 191323 55056 17906 37150 8253 7143 38284 16081 27240 39266 12394 26850 22 152009
"198701" 180920 2234 142372 1698 8194 2584 0 12752 102928 8361 5750 105 24291 12023 185901 49280 17868 31412 7474 9073 36623 15012 27218 41221 12793 27370 1058 160808
"198702" 195913 2796 145528 1213 7169 2917 0 14566 105369 9777 4407 110 29514 18075 200992 53020 12251 40769 7568 6644 40105 16363 32669 44623 12227 30929 1467 170525
"198703" 224209 2701 151757 1344 7495 3540 0 13897 108242 11235 5903 101 30440 39311 229388 64584 31146 33438 7936 6560 41160 16267 32394 60487 13158 32855 14474 176193
"198704" 235664 2190 160935 2216 6493 3832 0 14364 115099 13921 5003 7 30249 42290 240881 70043 40817 29226 7647 7772 42125 14376 33830 65088 14354 34073 16661 186174
"198801" 233220 2130 165255 1616 7502 3983 0 14575 115485 15959 6129 6 29276 36559 238612 71928 27841 44087 8175 7457 42312 16386 32744 59610 15522 38721 5367 188396
"198802" 252108 1290 176791 1489 7390 4281 0 14643 125051 17863 6060 14 30169 43858 257660 77365 29662 47703 8979 7627 41337 20825 33269 68258 15784 42946 9528 200886
"198803" 250722 1361 176632 1441 7328 4599 0 14011 123904 19955 5380 14 29238 43491 256435 69306 26129 43177 8715 8224 43542 19404 32532 74712 15685 45603 13424 200476
"198804" 265924 1074 189525 1749 6610 4922 0 13659 135603 22063 4913 6 30988 44337 271798 74076 42576 31500 8662 8302 48435 18859 34360 79104 16906 46871 15327 215594
"198901" 278682 1020 190220 1812 6196 5597 0 12448 136076 23613 4471 7 27244 60198 284714 77299 36576 40723 8444 9120 51583 14205 30500 93563 17901 50758 24904 212986
"198902" 312842 1383 192009 2014 5790 5978 0 12499 135517 25554 4649 8 29870 89580 319033 78561 30760 47801 8531 8704 52373 19483 33087 118294 17976 49358 50960 217222
"198903" 368453 917 202467 2339 5816 5185 0 13774 142279 27917 5149 8 31829 133240 374806 70266 26240 44026 9250 9239 53152 16997 34250 181652 18544 47152 115956 229139
"198904" 359209 1035 213302 2111 6432 5222 0 14726 149601 30189 5013 8 34044 110828 365723 78805 38903 39902 8389 12000 52861 21164 35386 157118 18638 49482 88998 242325
"199001" 369472 1371 215870 2158 8933 5902 0 16064 142615 35761 4429 8 29747 122484 376144 72366 24437 47929 8993 9395 52660 23038 33173 176519 19312 46650 110557 241180
"199002" 311625 1033 225531 3179 9240 6194 0 15810 147640 38545 4914 9 29234 55827 318456 78045 13533 64512 8595 9791 52164 26914 32955 109992 20121 44250 45621 249842
"199003" 323475 1318 233258 3045 10468 6541 0 16272 150625 41326 4973 8 26844 62055 330467 76856 31083 45773 9212 9020 49246 28881 32129 125123 20278 50083 54762 255121
"199004" 367121 1210 250875 4133 11424 7153 0 17672 156537 45534 8414 8 28303 86733 374275 87050 46703 40347 8744 11031 49182 29600 34501 154167 18442 47640 88085 270756
"199101" 390433 525 260078 3317 14770 7942 0 17567 159870 49129 7479 4 22983 106847 397744 90418 38138 52280 8285 12467 75379 26398 28106 156691 18890 46732 91069 275578
"199102" 367675 424 270637 3151 12523 8660 0 17542 166998 51698 10061 4 23852 72762 375146 68335 10300 58035 8047 12632 86543 30036 28010 141543 18728 42634 80181 284424
"199103" 407247 832 286730 2621 14412 9000 0 18829 176447 52546 12863 12 23641 96044 414879 83556 30074 53482 8561 13199 94740 35381 26181 153261 18976 44470 89815 297496
"199104" 438560 943 313402 3085 20843 11151 0 21370 185795 54299 16832 27 22695 101520 446353 88877 41062 47815 8946 10980 99252 38350 24906 175042 24876 47233 102933 319238
