"DATES" "FL794104005.Q" "FL793169175.Q" "FL403161705.Q" "FL413065005.Q" "FL793163005.Q" "FL693168005.Q" "FL793169005.Q" "FL643165005.Q" "FL794104005.Q" "FL764104005.Q" "FL724104005.Q" "FL753169600.Q" "FL734104005.Q" "FL444104005.Q" "FL473169333.Q" "FL543169333.Q" "FL404104005.Q" "FL413065005.Q" "FL674190005.Q" "FL614104005.Q" "FL644104005.Q" "FL664104005.Q" "FL504104005.Q"
"198101" 591334 136284 163383 117260 92019 27908 52570 1910 591334 95138 43380 9291 42467 55375 0 0 166778 117260 0 138898 3797 0 14088
"198102" 626088 147180 173398 120851 93275 29977 59495 1912 626088 101338 44491 10248 46599 62191 0 0 176798 120851 0 146813 3730 0 14367
"198103" 665661 158401 186719 124370 94084 31522 68647 1918 665661 108236 46294 10633 51309 71347 0 0 191019 124370 0 149662 3758 0 17269
"198104" 682355 161519 190431 128986 98882 30813 69794 1930 682355 112980 48272 11865 52843 71377 0 0 195031 128986 0 153439 3729 0 16813
"198201" 698973 161243 192214 137628 102155 32619 71162 1952 698973 116920 49663 12423 54834 72587 0 0 197214 137628 0 153015 3681 0 17928
"198202" 735272 174378 201009 146951 103797 32753 74398 1986 735272 124081 52104 13356 58621 75698 0 0 206009 146951 0 158771 3704 0 20058
"198203" 750205 167826 207102 160231 107898 32486 72642 2020 750205 121991 52645 12661 56685 74217 0 0 212102 160231 0 155585 3724 0 22355
"198204" 778076 174175 205373 178519 113667 33298 71001 2043 778076 131932 58388 13415 60129 72488 0 0 210373 178519 0 158294 3714 0 22756
"198301" 785094 168337 202193 196517 116157 34365 65467 2058 785094 128187 54214 12492 61481 66642 0 0 207193 196517 0 160939 3709 46 21861
"198302" 811682 176252 202669 213061 118018 34635 64980 2067 811682 132948 56732 12432 63784 65753 0 0 207669 213061 220 165489 3614 74 22854
"198303" 844480 182450 203580 231538 125138 34896 64807 2071 844480 142308 59097 14553 68658 65268 0 0 208580 231538 2229 168227 3544 122 22664
"198304" 882672 195463 206780 244807 131309 35829 66416 2068 882672 152092 62970 15652 73470 66786 0 0 211780 244807 3655 173769 3457 377 25949
"198401" 907561 201969 212323 255930 131762 38045 65382 2150 907561 149019 60277 16358 72384 69348 0 0 217323 255930 5630 179434 4121 128 26628
"198402" 957288 212570 221368 263344 141530 42417 73772 2287 957288 169267 68126 18510 82631 78506 0 0 226368 263344 7600 186328 4860 337 20678
"198403" 1001248 213566 233824 275538 152113 42780 81010 2417 1001248 167974 62109 21840 84025 86104 0 0 238824 275538 9570 189310 5587 515 27826
"198404" 1052439 219490 237210 288987 176649 44831 82793 2479 1052439 175914 63467 22921 89526 90348 0 0 242210 288987 21339 199169 6289 1071 27112
"198501" 1084216 226243 241132 304033 186221 41016 83082 2489 1084216 177962 61819 22505 93638 90545 0 0 246132 304033 25928 202500 6568 382 30166
"198502" 1131883 228196 249936 321090 202811 39085 88264 2501 1131883 178959 58974 23159 96826 96490 0 0 254936 321090 29733 212772 6909 548 30446
"198503" 1197392 243014 253532 343332 213489 46582 94927 2516 1197392 182037 58468 23012 100557 106088 0 0 258832 343332 33294 230170 7292 622 35725
"198504" 1257314 252396 257795 367864 233108 44588 99029 2534 1257314 188338 57766 24416 106156 111351 0 0 263880 367864 37174 241024 7636 1342 38705
"198601" 1308856 258389 256553 394587 256496 42424 97739 2668 1308856 181677 55007 24309 102361 110135 0 0 262753 394587 45700 253962 8076 990 50976
"198602" 1401463 269457 261301 429072 279499 53435 105804 2895 1401463 190335 54117 24954 111264 119815 0 0 267790 429072 53248 275039 8892 1696 55576
"198603" 1489775 276177 267223 475896 297952 59899 109747 2881 1489775 194342 53761 27909 112672 127376 0 0 273279 475896 59601 290290 9733 1322 57936
"198604" 1593574 284632 273010 531591 325358 56933 119260 2790 1593574 195918 51865 27240 116813 135659 0 0 278730 531591 74723 301542 13329 3397 58685
"198701" 1667435 295351 268376 575435 357605 50958 116829 2881 1667435 206528 52725 27218 126585 136330 0 0 273376 575435 93201 303341 14118 2952 62154
"198702" 1761770 311098 275771 615142 379851 51869 125154 2885 1761770 216475 52266 32669 131540 144229 0 0 280741 615142 104156 310998 16628 3340 70061
"198703" 1831030 312477 283725 647084 407261 46456 131105 2922 1831030 216397 50304 32394 133699 150371 0 0 288695 647084 116076 319401 18925 4022 70059
"198704" 1895513 322909 303214 669394 403960 48630 144296 3110 1895513 217414 52505 33830 131079 164357 0 0 308184 669394 118309 313552 21312 3248 79743
"198801" 1926936 331452 313519 677841 414970 45364 140693 3097 1926936 212686 48123 32744 131819 161410 0 0 318489 677841 130381 304862 22009 3498 95760
"198802" 2001718 352867 317882 695315 436356 50195 145988 3115 2001718 218148 47883 33269 136996 168064 0 0 322852 695315 138970 323365 22854 5327 106823
"198803" 2056405 357934 328487 721137 446377 46822 152557 3091 2056405 217153 48338 32532 136283 174485 0 0 333457 721137 145774 319849 22941 5511 116098
"198804" 2145750 377740 348097 745287 456138 51365 163740 3383 2145750 219378 48777 34360 136241 185992 0 0 353067 745287 154382 337507 24840 7517 117780
"198901" 2246685 392484 364316 770459 494387 46799 174809 3431 2246685 217685 47157 30500 140028 196104 0 0 369286 770459 194139 335309 26353 9649 127701
"198902" 2294123 399406 368986 794482 504790 50373 172635 3451 2294123 221011 46678 33087 141246 193900 0 0 373956 794482 195145 348936 26646 10865 129182
"198903" 2333488 398820 370429 827012 512192 59367 162088 3580 2333488 225282 47063 34250 143969 181617 0 0 375399 827012 196950 362301 27003 10128 127796
"198904" 2399268 409088 373327 869549 525455 64850 153289 3710 2399268 224564 46709 35386 142469 171039 0 0 378297 869549 209825 374996 26942 13783 130273
"199001" 2439113 409060 378070 905165 532572 65913 144493 3840 2439113 220269 45130 33173 141966 161490 0 0 383040 905165 220130 381116 26602 12289 129012
"199002" 2487497 400256 380974 944198 549871 69792 138436 3970 2487497 211560 44262 32955 134343 152004 0 0 385944 944198 236537 388974 27222 10825 130233
"199003" 2528018 409590 384410 978533 554534 66406 130345 4200 2528018 199901 44857 32129 122915 142140 0 0 389380 978533 250037 384982 26693 14312 142040
"199004" 2613644 417681 393694 1019861 579956 68882 129240 4330 2613644 197737 48453 34501 114783 140106 0 0 398544 1019861 269186 398118 27698 15289 147105
"199101" 2643013 400578 396972 1050307 596966 75042 118748 4400 2643013 189265 46738 28106 114421 128290 0 0 401822 1050307 279989 397932 28274 16421 150713
"199102" 2669051 389898 389601 1085984 616751 75687 106648 4482 2669051 186464 45110 28010 113344 115261 0 0 394451 1085984 293867 401322 28158 18154 145390
"199103" 2703672 386663 394741 1123313 629798 68741 95838 4578 2703672 182777 46042 26181 110554 101822 0 0 399591 1123313 310950 394798 27909 18212 144300
"199104" 2769603 385340 402903 1156489 651906 76229 91943 4793 2769603 184574 47370 24906 112298 95369 0 0 407723 1156489 322950 411740 28639 19000 143119
"199201" 2826410 392338 405736 1179728 675150 79364 89086 5008 2826410 185867 47708 23137 115022 90740 0 1 410556 1179728 339008 410221 30404 19686 160199
"199202" 2894895 389647 418289 1218988 695749 77463 89730 5029 2894895 186015 51257 22045 112713 88531 0 4 423109 1218988 351769 404536 29420 23104 169419
"199203" 2969623 393840 435214 1243647 717715 81654 92414 5139 2969623 190177 55665 20142 114370 89775 11 49 440034 1243647 367558 413419 29843 22706 172404
"199204" 3024085 393535 443609 1272047 741221 76974 91344 5355 3024085 194551 58823 21155 114573 88366 46 7 448399 1272047 385538 416647 28215 21694 168575
"199301" 3066172 379031 451677 1299796 767168 66390 96410 5700 3066172 199083 59924 19304 119855 90830 45 39 456467 1299796 401032 400916 28308 19323 170333
"199302" 3112646 375566 468841 1301300 788524 69114 103263 6038 3112646 202643 64281 18173 120189 93963 124 184 473631 1301300 416750 398691 27333 22754 175273
"199303" 3222510 372939 510764 1330555 826297 64675 109700 7580 3222510 203927 67130 16490 120307 97043 208 149 515554 1330555 437572 406819 28366 26419 175898
"199304" 3320997 393381 524171 1356766 861443 62590 113702 8944 3320997 207951 68556 16027 123368 99630 234 246 528961 1356766 468034 415299 29883 33734 180259
"199401" 3447564 407947 564165 1399296 900328 58081 106347 11400 3447564 207912 69298 14372 124242 98252 258 255 564165 1399296 492100 420788 32575 31258 200705
"199402" 3548062 409193 600793 1432417 926707 50645 113807 14500 3548062 213481 72557 14163 126761 99696 299 261 600793 1432417 504222 428151 35490 31324 201928
"199403" 3652442 419196 638791 1454933 952663 47342 122017 17500 3652442 222257 77970 14652 129635 103392 416 269 638791 1454933 521247 432744 39300 29419 209674
"199404" 3791124 441556 701044 1472405 976949 48894 131550 18726 3791124 228096 81032 13439 133625 112423 457 592 701044 1472405 538291 452484 40037 34255 211040
"199501" 3857508 453054 716783 1480246 1016060 46384 125414 19567 3857508 232716 81976 13041 137699 107690 379 585 716783 1480246 552219 465675 40561 26870 233784
"199502" 3967621 461821 748564 1499398 1059747 50819 125743 21529 3967621 242761 86974 12876 142911 105897 346 622 748564 1499398 578437 479552 41784 26844 243416
"199503" 4089384 472623 774093 1527030 1113715 52308 126965 22650 4089384 252370 90393 11643 150334 107171 369 609 774093 1527030 619031 484773 42487 27368 254083
"199504" 4233514 486868 807007 1570731 1158496 51386 134975 24051 4233514 250579 92221 10356 148002 115047 374 512 807007 1570731 666360 500431 44573 29300 248600
"199601" 4312409 490922 814908 1600095 1188217 59202 133612 25453 4312409 241818 90431 10033 141354 117790 352 1143 814908 1600095 692959 514075 46660 21360 261249
"199602" 4483836 517349 846568 1643705 1243585 58436 146778 27415 4483836 253026 95824 8780 148422 128316 296 1213 846568 1643705 728583 525921 49582 24649 281977
"199603" 4593457 538567 866605 1679364 1263922 60138 155105 29756 4593457 256825 98791 8898 149136 134768 370 1112 866605 1679364 748336 536168 53068 26068 290773
"199604" 4747474 579096 897443 1711708 1300394 64009 162916 31908 4747474 263558 103912 9643 150003 140514 442 1600 897443 1711708 781007 555093 56465 27281 312363
"199701" 4821363 623019 895813 1740359 1303896 64326 157893 36057 4821363 266926 105601 9738 151587 136315 399 1788 895813 1740359 786673 555734 62756 26567 348033
"199702" 4985323 642458 945532 1762521 1357090 63961 173651 40110 4985323 286218 115383 10347 160488 144279 448 1822 945532 1762521 803898 584773 71300 35301 349231
"199703" 5087119 684716 957099 1791088 1351853 77548 183034 41781 5087119 294008 120800 9249 163959 149842 490 1867 957099 1791088 845044 572009 79618 33583 362471
"199704" 5301443 745741 996511 1826294 1410294 77320 198467 46816 5301443 309223 133400 7215 168608 160262 574 1783 996511 1826294 918344 584385 96107 35340 372620
"199801" 5500699 804942 1032256 1847555 1476107 84108 206640 49091 5500699 329944 143227 5511 181206 162910 696 1785 1032256 1847555 963307 604966 111883 35082 410315
"199802" 5757780 838860 1073954 1909389 1565972 89915 225636 54054 5757780 350160 155647 3996 190517 170708 757 1632 1073954 1909389 1039059 634989 127986 40084 409062
