"DATES" "FL154090005.Q" "FL154000025.Q" "FL153091003.Q" "FL153020005.Q" "FL153030005.Q" "FL153034005.Q" "FL154004005.Q" "FL163069103.Q" "FL153061505.Q" "FL313161400.Q" "FL153061105.Q" "FL153061705.Q" "FL153062005.Q" "FL153063005.Q" "FL153069803.Q" "FL153065005.Q" "FL153064105.Q" "FL153064205.Q" "FL153067005.Q" "FL153040005.Q" "FL153050005.Q" "FL152090205.Q" "FL153090005.Q" "FL154190005.Q" "FL154104005.Q" "FL153165105.Q" "FL153166000.Q" "FL163162005.Q" "FL153168005.Q" "FL153169005.Q" "FL163165505.Q" "FL153167005.Q" "FL163170003.Q" "FL543077003.Q"
"197303" 3319783 747777 0 139053 608724 0 248452 9660 87064 59885 27179 9482 54174 40526 0 47546 833421 49090 4703 149452 366497 884097 36294 632059 607155 372073 186695 255 10904 25452 11776 9926 8700 6278
"197304" 3228048 766396 0 147676 618720 0 254696 14111 88480 60354 28126 8333 55136 41469 0 47167 693870 43695 4866 151278 358451 917738 37058 649094 624890 382154 192980 400 11243 26174 11939 8918 8910 6376
"197401" 3251091 782332 0 143625 638444 263 264253 14668 95978 61121 34857 5739 56629 43127 0 48112 664408 41490 4609 153061 367676 935465 37797 653164 629187 389799 190460 578 9201 26714 12434 8277 9170 6530
"197402" 3216359 799509 0 142593 656346 570 268053 17685 90833 61934 28899 6971 57899 45766 0 48899 591895 37557 4293 154793 367681 954055 38522 673950 649843 400388 196777 787 12206 27581 12104 7792 9600 6715
"197403" 3113729 810433 0 145136 663911 1386 289057 22024 95248 62525 32723 11511 62394 47998 0 49882 440798 29123 4027 156548 348136 996358 39248 691710 667468 411325 201241 1028 13126 28700 12048 7554 9780 6908
"197404" 3202943 828522 0 152484 673659 2379 299524 22495 96253 63338 32915 13670 62164 54410 0 50532 445034 31813 3891 158399 367498 1028273 39989 704822 680286 419277 201926 1300 16837 29384 11562 7390 10060 7086
"197501" 3391336 839636 0 139573 696443 3620 300752 30347 93872 64349 29523 11530 62603 57758 0 44642 547842 37436 3854 161446 400150 1059360 40860 704026 679289 424253 195912 1603 15531 30039 11952 7372 10107 7258
"197502" 3572407 868694 0 149622 715411 3661 297855 26437 96690 65430 31260 8770 63059 55844 0 47055 625664 42283 3973 163796 441607 1086803 41732 718161 693044 434523 195933 1937 18421 30596 11634 7476 10210 7431
"197503" 3538863 885815 0 152136 729971 3708 309865 21915 105611 66407 39204 7682 65177 60059 0 49421 544752 36835 4237 165855 443098 1105666 42740 737277 711518 446270 201183 2303 19040 31127 11594 7772 10391 7596
"197504" 3664248 908272 0 153269 751307 3696 320691 19746 111787 67363 44424 7585 66809 64342 0 50422 584599 38749 4468 168626 466998 1127852 43993 760928 734343 459028 206996 2700 23004 31544 11072 8286 10555 7744
"197601" 3834132 931264 0 149006 778701 3557 320742 20641 110786 68460 42326 6964 69757 61293 0 51301 677976 42619 4900 170615 496217 1144465 45334 770671 742450 469939 204908 3131 20930 31956 11586 9626 10693 7902
"197602" 3950192 961830 0 155055 803434 3341 326412 21250 107997 69621 38376 7595 73874 63655 0 52041 696689 42441 5438 173075 512522 1184957 46828 797075 767172 483932 213148 3575 22746 32449 11321 11223 10635 8045
"197603" 4028944 986153 0 157043 825788 3322 329766 18956 108305 70923 37382 6994 74962 67677 0 52872 707098 40957 5557 175297 521486 1214247 48383 822334 791770 501065 220688 4082 21123 33059 11753 11645 10723 8196
"197604" 4149279 1019635 0 163760 852494 3381 331258 16851 102738 72018 30720 11693 72859 74338 0 52779 731643 41436 5730 177824 534520 1257328 49905 850524 818922 517013 228961 4700 23355 33386 11507 12510 10717 8375
"197701" 4173671 1053385 0 163808 886638 2939 341273 24022 107247 73203 34044 7500 73367 75567 0 53570 674072 37826 5907 180124 537867 1291568 51649 867212 834870 531252 229155 5453 23863 33578 11569 12936 10824 8582
"197702" 4279530 1078363 0 166983 908363 3017 342652 28271 99096 74448 24648 7589 77980 75315 0 54401 691898 41151 6177 182557 557299 1325884 53549 905653 871947 554039 242048 6363 23684 34079 11734 14024 10864 8818
