,LevFac,LogLev,Mkt-RF,SMB,HML,RF
200707,0.054523948735613725,3.6796951566665217,-0.037200000000000004,-0.026600000000000002,-0.0368,0.004
200710,0.08634975633651365,3.7660449130030353,0.0179,0.0019,-0.0287,0.0032
200801,0.12595633753747926,3.8920012505405146,-0.0633,-0.0102,0.04,0.0021
200804,-0.09997148447253146,3.792029766067983,0.0461,-0.0169,-0.0096,0.0018
200807,0.22200319463508622,4.014032960703069,-0.0075,0.026000000000000002,0.052000000000000005,0.0015
200810,-0.5710849486280738,3.4429480120749956,-0.172,-0.0231,-0.0189,0.0008
200901,-0.23707409220044307,3.2058739198745525,-0.0809,0.0004,-0.11019999999999999,0.0
200904,-0.18524392758082397,3.0206299922937285,0.1017,0.054000000000000006,0.0538,0.0001
200907,-0.04711021114927849,2.97351978114445,0.0774,0.0175,0.0489,0.0001
200910,0.21783618132704463,3.1913559624714947,-0.0253,-0.0426,-0.0417,0.0
201001,-0.04137968767556588,3.149976274795929,-0.0335,0.0043,0.0033,0.0
201004,-0.08706972124353207,3.0629065535523967,0.0199,0.0484,0.0296,0.0001
201007,-0.006753071018022361,3.0561534825343744,0.0692,0.0022,-0.005,0.0001
