"DATES" "FL793120005.Q" "FL713120005.Q" "FL713123005.Q" "FL713124003.Q" "FL713122605.Q" "FL713125005.Q" "FL763127005.Q" "FL723123005.Q" "FL763122605.Q" "FL763129205.Q" "FL443127005.Q" "FL473127003.Q" "FL793120005.Q" "FL153020005.Q" "FL143020005.Q" "FL103020003.Q" "FL113020003.Q" "FL133020003.Q" "FL213020005.Q" "FL313020005.Q" "FL263020005.Q" "FL263027003.Q" "FL263025003.Q" "FL793020005.Q" "FL743020003.Q" "FL443020005.Q" "FL473020005.Q" "FL513020003.Q" "FL543020003.Q" "FL573020005.Q" "FL223020003.Q" "FL633020000.Q" "FL403020005.Q" "FL613020003.Q" "FL643020003.Q" "FL663020003.Q" "FL903020005.Q"
"197601" 313780 82323 7668 0 396 74259 230029 2378 12537 215114 1295 133 313780 149006 83460 58428 18083 6949 10671 10233 23104 12933 10171 16921 875 3186 861 1486 1451 4617 265 30 285 2962 0 903 20385
"197602" 332432 89878 12452 0 561 76865 240942 4626 13014 223302 1432 180 332432 155055 84461 59066 18449 6946 12051 17935 24218 13575 10643 17096 864 3016 816 1615 1510 4704 285 11 265 2999 0 1011 21616
"197603" 329121 90518 12716 0 535 77267 236719 5678 13777 217264 1653 231 329121 157043 84472 58507 19022 6943 11260 19881 25197 14312 10885 16679 800 3058 776 1739 1181 4619 254 35 217 3036 0 964 14589
"197604" 356209 93234 10853 0 647 81734 260850 3023 16223 241604 1842 283 356209 163760 89677 62967 19763 6947 12400 14991 28120 16870 11250 18483 744 3948 753 1910 2003 4510 266 24 235 3072 0 1018 28778
"197701" 338423 89932 8240 0 451 81241 246175 3426 14780 227969 1954 362 338423 163808 85835 58578 20295 6962 10960 11898 26587 15231 11356 17432 900 3413 749 1765 1423 4499 236 24 234 3107 0 1082 21903
"197702" 356834 100159 15623 0 611 83925 254116 2820 15160 236136 2101 458 356834 166983 88575 60714 20876 6985 12384 19148 27619 15771 11848 18150 1093 3604 782 1895 1390 4567 300 23 224 3142 0 1130 23975
"197703" 361938 103220 16174 0 565 86481 255877 5294 15262 235321 2288 553 361938 174898 89050 60460 21579 7011 11306 21995 27984 15827 12157 18390 1172 3503 821 1828 1455 4694 320 72 272 3176 0 1077 18315
"197704" 386279 98013 7506 0 618 89889 285148 7315 18652 259181 2480 638 386279 178271 96131 66717 22379 7035 13460 14628 31971 19270 12701 19944 1252 3844 843 2183 2130 4835 280 28 304 3209 0 1036 31874
"197801" 359949 96433 5098 0 572 90763 260182 3560 17086 239536 2587 747 359949 178306 90149 59929 23161 7059 11131 9099 30636 17658 12978 18623 1332 3393 863 1678 1405 4944 332 51 264 3241 0 1120 22005
"197802" 386993 106871 11951 0 537 94383 276439 7960 17157 251322 2781 902 386993 184882 93380 62348 23949 7083 12571 20073 31233 17694 13539 19332 1414 3624 881 1821 1466 5031 387 36 298 3272 0 1102 25522
"197803" 393217 112911 16949 0 445 95517 276424 7941 16428 252055 2902 980 393217 191659 95116 63256 24752 7108 11481 25109 30920 16873 14047 20284 1489 3813 892 2219 1438 5119 419 45 248 3303 0 1299 18648
"197804" 418994 104272 4436 0 674 99162 310575 14075 18348 278152 3068 1079 418994 192901 105722 73015 25570 7137 13427 18652 33962 19022 14940 23261 1578 5283 902 2602 2367 5184 385 68 334 3333 0 1225 31069
"197901" 387756 106382 6111 0 552 99719 276909 4163 16143 256603 3297 1168 387756 186753 104043 70571 26301 7171 10967 10436 31661 16695 14966 22107 1673 5492 914 2125 1149 5207 459 51 301 3362 0 1374 21789
"197902" 415798 107505 3661 0 571 103273 303409 16276 18752 268381 3547 1337 415798 198850 102999 68771 27016 7212 12066 20826 34805 19323 15482 22532 1755 4857 925 2453 1516 5189 479 85 356 3391 0 1526 23720
"197903" 430624 112417 6826 0 473 105118 312993 19862 19558 273573 3773 1441 430624 210810 103703 68762 27689 7252 11217 27081 36127 20031 16096 23975 2090 5616 972 2581 1233 5142 484 132 370 3419 0 1936 17711
"197904" 455847 112468 4569 0 785 107114 338014 14475 22660 300879 3909 1456 455847 211660 114689 79073 28332 7284 13045 19183 40087 23445 16642 26164 2441 5245 1111 2852 2670 5055 566 67 506 3446 0 2205 31019
"198001" 425256 111163 2920 0 572 107671 308292 8099 22243 277950 4087 1714 425256 201479 113057 76665 29086 7306 10681 11623 39903 22815 17088 26590 2531 6228 1100 3105 1425 4920 616 64 482 3472 0 2647 21923
"198002" 447430 115580 3728 0 814 111038 325565 13026 25290 287249 4364 1921 447430 204193 115496 78363 29816 7317 11979 17428 44313 26104 18209 28816 2621 6354 2000 3026 2122 4722 664 633 466 3497 0 2711 25205
"198003" 462181 117708 4568 0 545 112595 337359 19090 22066 296203 4798 2316 462181 222763 116775 78961 30484 7330 11013 25115 40989 22611 18378 28241 2711 6080 2300 2985 2095 4448 589 240 366 3522 0 2905 17285
"198004" 477541 121492 3499 0 543 117450 347752 11917 22919 312916 5009 3288 477541 227203 117123 78660 31106 7357 12438 16176 42877 23462 19415 29029 2800 6864 1200 2947 3210 4163 603 166 533 3546 0 2997 32695
