"DATES" "FL313161505.Q" "FL313161400.Q" "FL313161105.Q" "FL893061505.Q" "FL153061505.Q" "FL313161400.Q" "FL153061105.Q" "FL103061103.Q" "FL113061003.Q" "FL213061105.Q" "FL263061105.Q" "FL713061100.Q" "FL763061105.Q" "FL723061100.Q" "FL753061103.Q" "FL733061103.Q" "FL743061103.Q" "FL443061105.Q" "FL473061105.Q" "FL513061103.Q" "FL543061103.Q" "FL573061105.Q" "FL223061103.Q" "FL343061105.Q" "FL633061100.Q" "FL653061105.Q" "FL553061103.Q" "FL563061103.Q" "FL403061105.Q" "FL673061103.Q" "FL663061105.Q" "FL314104005.Q"
"197504" 434918 67363 367555 434918 111787 67363 44424 14264 1274 27783 65518 86717 85021 83874 610 120 417 10189 1177 4720 4736 12396 2540 0 927 1066 716 0 2935 0 1152 443865
"197601" 458709 68460 390249 458709 110786 68460 42326 19259 1249 31610 67953 87293 90391 89183 705 128 375 11561 1232 5460 5072 13613 3058 0 1201 1435 724 0 4093 0 2719 468166
"197602" 467926 69621 398305 467926 107997 69621 38376 20432 1258 33077 69527 90575 92503 91160 861 136 346 12546 1275 5750 4956 15211 3632 0 832 1196 741 0 3847 0 2571 477403
"197603" 485779 70923 414856 485779 108305 70923 37382 18534 1352 35536 73813 94445 94430 93093 783 144 410 13337 1310 6585 5419 16371 3900 0 974 1368 752 0 4205 0 5143 495509
"197604" 503744 72018 431726 503744 102738 72018 30720 21547 1515 40244 77583 93268 103774 101954 1162 164 494 13955 1343 7300 5368 18075 4057 0 1149 1086 746 0 4392 0 5604 513055
"197701" 521624 73203 448421 521624 107247 73203 34044 22381 1686 43626 83869 95672 105874 104163 977 184 550 15324 1378 8486 5542 17873 4712 0 1042 1368 718 0 3202 0 1624 530748
"197702" 520678 74448 446230 520678 99096 74448 24648 17508 1878 49779 87623 98163 102903 101198 876 208 621 15974 1419 7633 5337 19957 6568 0 798 1985 666 0 1401 0 1990 529694
"197703" 540610 75572 465038 540610 103755 75572 28183 17055 2123 55880 95798 102405 101140 99186 1054 240 660 15596 1443 8770 5719 20080 6757 0 755 1740 616 0 830 0 148 549103
"197704" 560949 76762 484187 560949 104545 76762 27783 16556 2412 61359 108654 100918 101960 99801 1189 268 702 15431 1424 9760 5315 21308 6760 0 883 1763 590 0 961 0 350 569374
"197801" 581775 77958 503817 581775 108190 77958 30232 14993 2732 68774 122439 99890 100825 98753 1132 240 700 15312 1254 9754 5075 21477 7624 0 1120 1833 588 0 842 0 -947 589853
