"DATES" "FL893190005.Q" "FL543077003.Q" "FL103190005.Q" "FL113190005.Q" "FL313190005.Q" "FL263190005.Q" "FL713190005.Q" "FL763190005.Q" "FL443190005.Q" "FL473193005.Q" "FL513190005.Q" "FL543190005.Q" "FL403190005.Q" "FL613190005.Q" "FL643193005.Q" "FL663190005.Q" "FL503190005.Q" "FL893090005.Q" "FL153090005.Q" "FL103090005.Q" "FL113090003.Q" "FL133090005.Q" "FL213093005.Q" "FL313090005.Q" "FL263090005.Q" "FL713090005.Q" "FL763090005.Q" "FL443090005.Q" "FL473090005.Q" "FL513092003.Q" "FL543090005.Q" "FL573090005.Q" "FL223093003.Q" "FL343150005.Q" "FL633093005.Q" "FL653093003.Q" "FL403093005.Q" "FL613090005.Q" "FL643093005.Q" "FL663090005.Q" "FL503094505.Q" "FL903090005.Q"
"197402" 380036 6715 19832 19896 38912 105429 2615 56375 17815 820 50734 30887 8741 16358 2008 1028 1871 400745 38522 181293 21241 6538 0 6808 -7024 1174 46479 14177 -602 2022 12643 24879 0 38912 -17 0 1435 11496 769 0 0 -20709
"197403" 392918 6908 22598 21538 38126 111764 2802 58171 17759 904 51891 31444 8760 15554 1942 1066 1692 417858 39248 187291 21241 6728 0 6747 4089 1161 45949 14048 -605 2162 13010 26049 0 38126 -48 0 1745 10463 454 0 0 -24940
"197404" 392489 7086 23347 23613 39961 114490 3152 54154 15758 983 52994 32185 8913 11371 1851 1224 1406 493964 39989 242620 21251 6910 0 6976 23768 3193 45714 13170 -623 2312 13386 27367 0 38238 -90 0 533 8975 275 0 0 -101475
"197501" 689001 7258 302932 24389 39489 117507 2398 63561 16535 968 54425 32748 9611 12920 2000 718 1542 605438 40860 349882 21270 7111 0 6809 16701 3122 53574 13910 -660 2473 13795 28896 0 37947 -146 0 462 8360 1072 0 0 83563
"197502" 713195 7431 315503 24385 44419 120679 2576 66955 17836 944 55852 33691 10360 9515 1457 247 1345 622479 41732 355384 21200 7312 0 6485 13516 2965 57257 15764 -697 2645 14258 32176 0 43043 -129 0 886 8175 507 0 0 90716
"197503" 736847 7596 325635 24775 43184 124959 2456 70657 19444 918 57447 34433 9710 14188 481 -112 1076 624622 42740 341145 21199 7522 0 6148 17672 2807 63630 16729 -712 2828 14700 36376 0 41962 -123 0 1791 8026 182 0 0 112225
"197504" 734435 7744 316958 26622 43186 127747 2902 69108 18922 895 59385 35478 10627 13883 111 -475 1341 648199 43993 353207 21467 7837 0 6114 25754 3201 61871 17136 -738 3024 15049 39115 0 42061 -76 0 1496 7558 130 0 0 86236
"197601" 782980 7902 346318 26336 42384 133607 2681 73831 20456 884 61672 36252 11161 15287 453 2723 1033 666274 45334 361988 22032 8159 0 6303 24740 3120 66261 17946 -778 3234 15427 39462 0 41323 -84 0 1287 7577 90 2853 0 116706
"197602" 802938 8045 352817 26464 48631 133569 2505 74197 22216 880 64340 37550 10663 16790 270 3082 919 693645 46828 376052 22868 8523 0 6555 28806 3048 66742 19623 -815 3459 15774 37262 0 47681 -65 0 884 7454 70 2896 0 109293
"197603" 834795 8196 368145 26926 47103 142149 2923 76333 23416 884 67158 38491 11348 18020 30 2906 767 712350 48383 385992 23815 8890 0 6874 29524 3088 70470 19693 -833 3699 16122 39477 0 46312 -26 0 1084 6967 30 2789 0 122445
