"DATES" "FL894104005.Q" "FL893111005.Q" "FL713014003.Q" "FL313112003.Q" "FL263191003.Q" "FL774110005.Q" "FL793120005.Q" "FL793131005.Q" "FL793135005.Q" "FL634000005.Q" "FL792150005.Q" "FL654090005.Q" "FL893167005.Q" "FL153040005.Q" "FL153050005.Q" "FL893170005.Q" "FL893178005.Q" "FL893190005.Q" "FL894190005.Q" "FL883011203.Q" "FL893064105.Q" "FL152090205.Q" "FL903012005.Q" "FL903091005.Q" "FL904010005.Q" "FL902050005.Q" "FL903078005.Q" "FL903090005.Q" "FL903028003.Q" "FL903023005.Q" "FL903029200.Q" "FL903070005.Q" "FL894090005.Q"
"197401" 2212410 5703 400 6988 3729 47484 283558 610529 132178 263 27861 44521 25231 153061 367676 310755 29869 373878 4636093 11652 911785 935465 -1825 0 -1433 -1433 16689 -14243 5555 242 11899 -21090 6500634
"197402" 2283599 6061 400 7085 3529 48640 293328 615520 149876 570 31309 40662 25053 154793 367681 325090 28597 380036 4761828 11652 817463 954055 -1839 0 2673 6333 14612 -20709 5589 -552 17877 -24708 6545723
"197403" 2348243 6964 400 7188 3129 55994 287857 613276 163343 1386 34640 32320 24406 156548 348136 337000 33399 392918 4847148 11652 610689 996358 -1881 0 1978 8033 18956 -24940 5558 -113 10301 -22601 6470556
"197404" 2409478 7040 400 7333 4946 40808 311687 628062 167411 2379 25358 35152 25870 158399 367498 254755 32754 392489 4871817 11652 632492 1028273 -1919 0 663 6614 18290 -101475 5461 -152 22205 -42024 6636572
"197501" 2436351 7498 400 7500 5022 40913 290899 656027 166783 3620 28927 40968 23687 161446 400150 247751 31889 689001 5238832 11620 775904 1059360 -1953 2852 2503 12266 19102 83563 5345 -1140 13212 -67237 7017203
"197502" 2485632 7458 500 7711 4822 27595 311273 686292 158402 3661 30446 46061 24646 163796 441607 250412 26994 713195 5390503 11620 893211 1086803 -1976 3083 -1122 14787 13536 90716 5254 -2046 17559 -72762 7315108
"197503" 2536829 7363 500 7910 5272 39270 306694 705132 156752 3708 33144 40876 22925 165855 443098 263522 29746 736847 5505442 11599 782809 1105666 -2024 3512 511 16686 15752 112225 5179 -2068 11344 -77353 7321752
"197504" 2619091 7312 500 8170 5772 29633 331096 726454 158262 3696 29087 43034 28466 168626 466998 277958 31331 734435 5669920 11599 839378 1127852 -2048 3150 -3091 15285 17126 86236 5100 -273 24207 -51194 7554251
"197601" 2671859 7995 500 8318 6428 30983 313780 766015 148574 3712 31848 46920 29112 170615 496217 273021 35455 782980 5824332 11599 968562 1144465 -2085 3246 -440 13990 16305 116706 5035 -187 15537 -76443 7857294
"197602" 2744472 9508 500 8657 6941 27961 332432 789159 147812 3430 37364 47003 31278 173075 512522 284762 32717 802938 5992531 11598 987996 1184957 -1901 3643 -1407 18314 12754 109293 5000 -857 17473 -81595 8096365
"197603" 2814864 10002 800 8556 6763 31598 329121 813587 143615 3421 50161 45799 31990 175297 521486 294477 36332 834795 6152663 11598 998860 1214247 -2129 4054 -1610 29373 16153 122445 5006 -1487 11070 -87613 8282106
"197604" 2904877 9814 1200 8659 7441 20506 356209 847958 144413 3686 45085 46510 39896 177824 534520 310530 38535 913371 6411033 11598 1034228 1257328 -2161 4002 -3952 27163 18151 166077 5049 -1115 24844 -59406 8535535
"197701" 2971564 10121 1200 8648 8287 21230 338423 887120 143638 3460 45048 43037 37776 180124 537867 315884 40373 944035 6537835 11658 957603 1291568 -2291 4390 -4323 27454 20329 177646 5104 -232 17031 -77839 8631395
"197702" 3065724 10172 1200 8765 9731 20917 356834 908986 146177 3443 52327 46401 39516 182557 557299 326934 35174 963169 6735326 11658 986596 1325884 -2316 4914 -2942 26784 14183 176293 5141 -705 19539 -81575 8900148
"197703" 3168104 9999 1200 8864 8990 20786 361938 929238 155074 3463 51150 45617 41050 184993 573921 334707 39052 1001631 6939776 11658 947989 1369199 -2342 3970 -6498 25714 17820 188094 5174 -527 13668 -94251 9117800
"197704" 3292975 10385 1250 8909 8756 19126 386279 943206 172986 3887 52320 45491 44158 187808 589857 354468 41889 1019549 7183298 11719 922579 1420309 -2422 3056 -9374 31057 20603 177275 5208 193 26473 -68305 9354141
