"DATES" "FL714090005.Q" "FL713011005.Q" "FL713014003.Q" "FL713012003.Q" "FL713022003.Q" "FL713068705.Q" "FL713068703.Q" "FL723069143.Q" "FL712050000.Q" "FL714004005.Q" "FL713069603.Q" "FL713061100.Q" "FL713061705.Q" "FL713068005.Q" "FL713068303.Q" "FL713068473.Q" "FL663168005.Q" "FL713068513.Q" "FL713068523.Q" "FL713068533.Q" "FL713068543.Q" "FL713068553.Q" "FL713064103.Q" "FL713090005.Q" "FL713091103.Q" "FL713093005.Q" "FL714190005.Q" "FL713113003.Q" "FL723025000.Q" "FL713120005.Q" "FL713123005.Q" "FL713123023.Q" "FL713123030.Q" "FL713123043.Q" "FL713122605.Q" "FL713124003.Q" "FL713125005.Q" "FL712150003.Q" "FL713190005.Q" "FL713164003.Q" "FL713193005.Q"
"197501" 116658 11601 400 9453 2163 813 813 0 1400 87706 628 82034 5044 0 0 0 0 0 0 0 0 0 0 3122 0 3122 115452 30437 10562 72055 3860 306 3554 0 602 0 67593 0 2398 902 1496
"197502" 117698 11617 500 9687 1791 561 561 0 1500 89077 282 83949 4846 0 0 0 0 0 0 0 0 0 0 2965 0 2965 116329 25976 10084 77693 6137 364 5773 0 454 0 71102 0 2576 909 1667
"197503" 122841 11629 500 9934 2406 1402 1402 0 1600 92563 474 86474 5615 0 0 0 0 0 0 0 0 0 0 2807 0 2807 121448 29363 11168 78461 7605 356 7249 0 306 0 70550 0 2456 914 1542
"197504" 124741 11655 500 10218 3688 229 229 0 1720 93530 741 86717 6072 0 0 0 0 0 0 0 0 0 0 3201 0 3201 123812 26052 12252 82606 7768 483 7285 0 484 0 74354 0 2902 929 1973
"197601" 125857 12140 500 10403 2110 54 54 0 3090 94440 540 87293 6607 0 0 0 0 0 0 0 0 0 0 3120 0 3120 124411 28150 11257 82323 7668 524 7144 0 396 0 74259 0 2681 945 1736
"197602" 133270 12718 500 10558 3577 314 314 0 4814 97741 361 90575 6805 0 0 0 0 0 0 0 0 0 0 3048 0 3048 131824 27460 11981 89878 12452 480 11972 0 561 0 76865 0 2505 959 1546
"197603" 136899 12194 800 10685 2811 326 326 0 5733 101262 88 94445 6729 0 0 0 0 0 0 0 0 0 0 3088 0 3088 135444 29716 12287 90518 12716 504 12212 0 535 0 77267 0 2923 965 1958
"197604" 134455 11743 1200 10820 2601 25 25 0 4826 100258 196 93268 6794 0 0 0 0 0 0 0 0 0 0 2982 0 2982 133472 25158 12121 93234 10853 460 10393 0 647 0 81734 0 2959 983 1976
"197701" 132762 11668 1200 10939 2913 149 149 0 620 102391 29 95672 6690 0 0 0 0 0 0 0 0 0 0 2882 0 2882 131311 26883 12124 89932 8240 471 7769 0 451 0 81241 0 2372 990 1382
"197702" 141523 11656 1200 11081 3604 260 260 0 5264 105629 43 98163 7423 0 0 0 0 0 0 0 0 0 0 2829 0 2829 140072 24562 12725 100159 15623 440 15183 0 611 0 83925 0 2626 1000 1626
"197703" 142937 11638 1200 11206 1956 1292 1292 0 3098 109779 4 102405 7370 0 0 0 0 0 0 0 0 0 0 2768 0 2768 141459 23953 11326 103220 16174 434 15740 0 565 0 86481 0 2960 1016 1944
"197704" 142976 11714 1250 11331 3810 265 265 0 3306 108922 0 100918 8004 0 0 0 0 0 0 0 0 0 0 2378 0 2378 141947 26870 13922 98013 7506 392 7114 0 618 0 89889 0 3142 1029 2113
"197801" 140269 11763 1250 11441 2732 332 332 0 2721 107819 0 99890 7929 0 0 0 0 0 0 0 0 0 0 2211 0 2211 138691 27900 11622 96433 5098 393 4705 0 572 0 90763 0 2736 1048 1688
"197802" 151330 11736 1250 11565 3318 1428 1428 0 3666 116027 0 107859 8168 0 0 0 0 0 0 0 0 0 0 2340 0 2340 149752 27920 11888 106871 11951 337 11614 0 537 0 94383 0 3073 1056 2017
"197803" 156678 11662 1300 11683 3719 1365 1365 0 3614 120977 0 113027 7950 0 0 0 0 0 0 0 0 0 0 2358 0 2358 155068 26830 12141 112911 16949 302 16647 0 445 0 95517 0 3186 1062 2124
"197804" 156132 13248 1300 11831 6516 1172 1172 0 1804 117374 0 109478 7896 0 0 0 0 0 0 0 0 0 0 2887 0 2887 155054 31223 15470 104272 4436 240 4196 0 674 0 99162 0 4089 1078 3011
"197901" 155526 15212 1300 12158 4337 963 963 0 2252 116724 0 109260 7464 0 0 0 0 0 0 0 0 0 0 2580 0 2580 153684 31714 12345 106382 6111 385 5726 0 552 0 99719 0 3243 1113 2130
"197902" 156511 14232 1800 12525 3924 1558 1558 0 5531 114193 0 106432 7761 0 0 0 0 0 0 0 0 0 0 2748 0 2748 154647 30407 13272 107505 3661 371 3290 0 571 0 103273 0 3463 1126 2337
"197903" 160733 12731 1800 12825 2654 1156 1156 0 3014 122820 0 114596 8224 0 0 0 0 0 0 0 0 0 0 3733 0 3733 158860 29089 13609 112417 6826 337 6489 0 473 0 105118 0 3745 1135 2610
"197904" 166656 13628 1800 13091 6767 1454 1454 0 2364 124507 0 116291 8216 0 0 0 0 0 0 0 0 0 0 3045 0 3045 165511 29792 18488 112468 4569 494 4075 0 785 0 107114 0 4763 1145 3618
"198001" 163686 13478 2968 13352 3682 2502 2502 0 1174 123945 0 115734 8211 0 0 0 0 0 0 0 0 0 0 2585 0 2585 162132 32270 15333 111163 2920 586 2334 0 572 0 107671 0 3366 1159 2207
"198002" 171326 13480 3018 13523 4167 215 215 0 867 132933 0 124058 8875 0 0 0 0 0 0 0 0 0 0 3123 0 3123 169742 33612 16029 115580 3728 529 3199 0 814 0 111038 0 4521 1169 3352
"198003" 167958 13374 3268 13653 3192 982 982 0 2063 128200 0 119418 8782 0 0 0 0 0 0 0 0 0 0 3226 0 3226 166360 28146 17307 117708 4568 466 4102 0 545 0 112595 0 3199 1184 2015
"198004" 173726 16206 2518 13832 4467 1809 1809 0 3330 128038 0 119299 8739 0 0 0 0 0 0 0 0 0 0 3526 0 3526 172523 27456 19807 121492 3499 437 3062 0 543 0 117450 0 3768 1203 2565
