"DATES" "FL893167005.Q" "FL153167005.Q" "FL263167003.Q" "FL663167005.Q" "FL663167003.Q" "FL723067003.Q" "FL753067000.Q" "FL893167005.Q" "FL153067005.Q" "FL263067003.Q" "FL763067005.Q" "FL663067003.Q"
"200301" 789871 159526 0 630345 429641 92040 108664 789871 429641 0 200704 159526
"200302" 963720 248456 0 715264 515135 104236 95893 963720 515135 0 200129 248456
"200303" 931642 227610 0 704032 503443 99375 101214 931642 503443 0 200589 227610
"200304" 858792 182500 0 676292 475360 91423 109509 858792 475360 0 200932 182500
"200401" 941083 200782 0 740301 512899 96054 131348 941083 512899 0 227402 200782
"200402" 981054 216509 0 764545 533917 96700 133928 981054 533917 0 230628 216509
"200403" 976913 209852 0 767061 524341 103407 139313 976913 524341 0 242720 209852
"200404" 1038182 264019 0 774163 578316 102170 93677 1038182 578316 0 195847 264019
"200501" 1051259 266078 0 785181 569369 101088 114724 1051259 569369 0 215812 266078
"200502" 1064207 263518 0 800689 583167 90055 127467 1064207 583167 0 217522 263518
"200503" 1068188 258013 0 810175 578366 95500 136309 1068188 578366 0 231809 258013
"200504" 1038431 232447 0 805984 575308 95620 135056 1038431 575308 0 230676 232447
"200601" 1105502 249478 0 856024 598590 101852 155582 1105502 598590 0 257434 249478
"200602" 1148648 243845 0 904803 646293 93358 165152 1148648 646293 0 258510 243845
"200603" 1191464 254532 0 936932 654780 110374 171778 1191464 654780 0 282152 254532
"200604" 1249932 292099 0 957833 655663 116540 185630 1249932 655663 0 302170 292099
"200701" 1288976 278962 0 1010014 690136 121959 197919 1288976 690136 0 319878 278962
"200702" 1379506 334032 0 1045474 745313 118941 181220 1379506 745313 0 300161 334032
"200703" 1374518 296520 0 1077998 757822 135267 184909 1374518 757822 0 320176 296520
"200704" 1526416 325534 0 1200882 866424 145854 188604 1526416 866424 0 334458 325534
"200801" 1647051 365327 0 1281724 984530 158441 138753 1647051 984530 0 297194 365327
"200802" 1564903 291465 0 1273438 992080 158125 123233 1564903 992080 0 281358 291465
"200803" 1685174 402323 0 1282851 998551 178762 105538 1685174 998551 0 284300 402323
"200804" 1128468 164838 0 963630 742660 158641 62329 1128468 742660 0 220970 164838
"200901" 1017204 134275 0 882929 666349 139119 77461 1017204 666349 0 216580 134275
"200902" 999082 147666 0 851416 657287 120869 73260 999082 657287 0 194129 147666
"200903" 1067511 173767 0 893744 671709 157065 64970 1067511 671709 0 222035 173767
"200904" 1091181 202985 0 888196 668571 158047 61578 1091181 668571 0 219625 202985
"201001" 1108758 196375 0 912383 680005 160044 72334 1108758 680005 0 232378 196375
"201002" 1146077 216997 0 929080 685987 164462 78631 1146077 685987 0 243093 216997
"201003" 1176070 234613 0 941457 698213 144059 99185 1176070 698213 0 243244 234613
