"DATES" "FL792150005.Q" "FL712150003.Q" "FL762150005.Q" "FL722150005.Q" "FL752150000.Q" "FL732150005.Q" "FL442150005.Q" "FL542150005.Q" "FL642150003.Q" "FL662150005.Q" "FL892050005.Q" "FL102050003.Q" "FL212050003.Q" "FL262050003.Q" "FL792050005.Q" "FL712050000.Q" "FL442050005.Q" "FL472050000.Q" "FL512050003.Q" "FL572050005.Q" "FL222050003.Q" "FL632050000.Q" "FL652050003.Q" "FL402050005.Q" "FL502050003.Q" "FL902050005.Q"
"198701" 295669 0 210071 195059 15012 0 61581 0 0 24017 240967 5556 81673 11704 142034 0 28845 14002 0 20680 9211 36565 3633 29098 0 54702
"198702" 301777 0 208019 191656 16363 0 80089 0 0 13669 248342 5532 85191 10776 146843 3054 27912 11848 0 21281 10170 37373 3761 31444 0 53435
"198703" 303743 0 214771 198504 16267 0 81280 0 0 7692 244543 5601 90656 12804 135482 0 21081 9967 0 21224 10929 39899 4577 27805 0 59200
"198704" 292574 0 215693 201317 14376 0 85686 0 0 -8805 241892 3362 90908 13111 134511 4961 18951 9234 0 20444 11272 38872 3588 27189 0 50682
"198801" 323019 0 245077 228691 16386 0 80410 0 0 -2468 251288 3658 88141 12003 147486 0 21906 8587 0 20449 11247 41004 5270 39023 0 71731
"198802" 332065 0 248784 227959 20825 0 91639 0 0 -8358 259441 3075 92201 11934 152231 7426 22148 10549 0 22142 10900 40163 4216 34687 0 72624
"198803" 342586 0 253520 234116 19404 0 99431 0 0 -10365 268379 3695 92776 13653 158255 9490 23549 8883 0 22003 10468 41103 5213 37546 0 74207
"198804" 318668 0 236608 217749 18859 0 103945 0 0 -21885 257149 4981 89894 13038 149236 6861 20245 9369 0 22712 10183 41163 4921 33782 0 61519
"198901" 352661 0 260660 246455 14205 0 104632 0 0 -12631 276919 3744 97872 14402 160901 0 23840 10342 0 23640 10320 47064 4980 40715 0 75742
"198902" 392692 0 276575 257092 19483 0 99958 0 0 16159 310144 3524 100237 17229 189154 0 26824 9964 0 24017 10353 52146 5500 60350 0 82548
"198903" 392514 0 285951 268954 16997 0 73472 0 0 33091 313349 2449 103620 17075 190205 0 26140 10921 0 25085 10526 53657 5155 58721 0 79165
"198904" 396442 0 274437 253303 21164 -30 57765 0 0 64240 326023 2783 106040 23116 194084 2117 24151 12494 0 24814 9703 54250 4762 61793 0 70419
"199001" 383010 0 294126 271218 23038 -130 55549 0 0 33335 329391 2036 106401 22259 198695 1933 27521 16805 0 24854 9969 52609 5309 59695 0 53619
"199002" 383256 0 294910 268226 26914 -230 56833 0 0 31513 330299 1800 109562 21401 197536 0 23842 16007 0 24503 11410 54489 5777 61508 0 52957
"199003" 356301 0 279162 250615 28881 -334 51672 0 0 25467 331811 2792 109957 20544 198518 0 23157 14637 0 24146 11820 65411 6924 52423 0 24490
"199004" 371875 0 248401 219233 29600 -432 42450 0 0 81024 356906 2137 111771 19686 223312 18354 21607 14596 0 23504 12233 58185 6142 68691 0 14969
"199101" 340285 0 239909 214175 26398 -664 32535 0 0 67841 356094 1324 109672 19979 225119 0 21752 16551 0 23125 13785 72508 7278 70120 0 -15809
"199102" 345092 0 239263 210892 30036 -1665 27321 0 0 78508 360621 1430 114641 20271 224279 1439 18622 14174 0 24039 16515 70639 6891 71960 0 -15529
"199103" 359126 0 229801 196210 35381 -1790 25237 0 0 104088 372262 1635 115611 20564 234452 0 20929 11946 0 25471 20870 72117 7134 75985 0 -13136
