"DATES" "FL214090005.Q" "FL213020005.Q" "FL213030005.Q" "FL213034003.Q" "FL212050003.Q" "FL214004005.Q" "FL213069103.Q" "FL213061105.Q" "FL213061703.Q" "FL213062003.Q" "FL213063003.Q" "FL213065005.Q" "FL213064103.Q" "FL213064203.Q" "FL213070003.Q" "FL213078005.Q" "FL213093005.Q" "FL214190005.Q" "FL214104005.Q" "FL213162005.Q" "FL213162400.Q" "FL213162205.Q" "FL213169203.Q" "FL213170003.Q"
"199004" 1019831 23960 67545 0 111771 703355 3969 410555 151033 11583 16000 110215 4750 4844 56691 37076 9839 1140386 987420 977772 27788 949984 9648 152966
"199101" 1021895 21757 62777 0 109672 713316 4899 415619 152905 11896 16422 111575 5125 5899 55161 37285 10903 1157321 1001003 991423 28012 963411 9580 156318
"199102" 1036409 25506 60660 0 114641 717699 6000 416835 153813 12000 16938 112113 5500 7000 56201 37586 11616 1178599 1018907 1009504 27857 981647 9403 159692
"199103" 1060580 27287 60664 0 115611 737433 7336 430235 157515 11907 17485 112955 5875 8156 57271 37879 10404 1210889 1047760 1037959 34805 1003154 9801 163129
"199104" 1082934 30432 56467 0 118442 750582 8969 435538 162725 11627 18000 113723 6250 9375 59091 36971 15324 1245219 1078595 1068584 34659 1033925 10011 166624
"199201" 1088103 28216 57855 0 115788 762240 10617 460017 148155 11284 18453 113714 6625 10656 58386 38209 10128 1250779 1080582 1070532 29685 1040847 10050 170197
"199202" 1091928 29717 52180 0 122350 758397 12000 435563 166627 11000 19312 113895 7000 12000 59795 39227 11262 1263956 1090174 1080174 26923 1053251 10000 173782
"199203" 1092660 29133 53207 0 122183 759646 13156 429310 172507 10751 20165 113757 7375 13406 60597 39363 7750 1281096 1103719 1093769 38379 1055390 9950 177377
"199204" 1091006 31610 50319 0 123050 752283 14125 418175 174902 10502 20900 113679 7750 14875 62201 38940 9978 1276090 1095095 1085225 33586 1051639 9870 180995
"199301" 1094002 30655 53274 293 125826 756606 15031 433959 161570 10253 22116 113677 8125 16406 61958 38894 1965 1297301 1112632 1102882 34103 1068779 9750 184669
"199302" 1100880 32977 48363 585 124170 767879 16000 441228 166402 10000 23613 110636 8500 18000 62638 39529 -1761 1326601 1138174 1128561 33848 1094713 9613 188427
"199303" 1103578 33732 49002 1170 125838 775721 16966 433979 180476 9746 25104 109450 8879 19649 63516 39468 -13397 1345280 1153067 1143629 37630 1105999 9438 192213
"199304" 1111593 33561 48790 1755 133746 784914 17864 447775 175007 9483 26500 108285 9267 21347 65802 39126 -26715 1349086 1153040 1143882 35378 1108504 9158 196046
"199401" 1108170 34644 52162 2340 128424 775263 18830 443409 168135 9229 27850 107810 9646 23121 65516 37646 -20592 1349907 1149992 1140838 37493 1103345 9154 199915
"199402" 1112752 35404 49715 3511 125790 763926 20000 425212 172648 9000 29200 107866 10000 25000 67321 36999 -4914 1341180 1137325 1128085 30781 1097304 9240 203855
"199403" 1115869 31737 53920 4681 118353 752068 21458 398154 183963 8796 30550 109147 10320 27107 68439 36075 13169 1333243 1125325 1115642 34360 1081282 9683 207918
"199404" 1118412 35349 55319 5851 118640 729914 22288 370011 186600 8608 31900 110507 10598 29100 71244 34029 28368 1319538 1107497 1097943 33200 1064743 9554 212041
"199501" 1117110 34136 60245 6635 109780 734161 24019 350471 205900 8442 33542 111787 10921 31354 71266 31667 26945 1309042 1092793 1083130 36797 1046333 9663 216249
"199502" 1119781 37243 58001 8802 101100 697073 26180 313657 200300 8300 35730 112906 11427 33450 72562 31502 68621 1304611 1084057 1074431 32680 1041751 9626 220554
"199503" 1122167 35652 58492 9277 105767 668922 34914 304289 172200 7192 37293 113034 20033 34385 74635 29859 85145 1283668 1058797 1048582 32618 1015964 10215 224871
"199504" 1121712 38704 61959 10672 115685 638560 39366 289791 151500 5115 38979 113809 26415 35000 77310 27930 89477 1275963 1046732 1037040 34430 1002610 9692 229231
"199601" 1121458 34018 66592 11230 135600 637066 41773 283605 150600 4057 42719 114312 30662 35763 77378 27333 65816 1275737 1042115 1032290 35865 996425 9825 233622
