"DATES" "FL444090005.Q" "FL443013053.Q" "FL443020005.Q" "FL443030053.Q" "FL442050005.Q" "FL444004005.Q" "FL443069105.Q" "FL443061105.Q" "FL443061705.Q" "FL443061875.Q" "FL443061675.Q" "FL443061775.Q" "FL443062005.Q" "FL443063005.Q" "FL443065775.Q" "FL443063675.Q" "FL443063075.Q" "FL443069505.Q" "FL443065005.Q" "FL443066005.Q" "FL443064175.Q" "FL443090005.Q" "FL444190005.Q" "FL443139005.Q" "FL443127005.Q" "FL443131005.Q" "FL443135005.Q" "FL442150005.Q" "FL444104005.Q" "FL443163053.Q" "FL443168005.Q" "FL443169305.Q" "FL443178005.Q" "FL443190005.Q" "FL443194733.Q" "FL443193005.Q"
"197404" 399354 0 3160 3590 6015 369719 0 5881 17576 9258 0 8318 1430 14196 0 0 14196 526 320977 9133 3700 13170 382999 341675 835 335643 5197 2018 23276 0 1472 21804 272 15758 0 15758
"197501" 412599 0 3502 7169 5997 377595 10 6367 18981 10427 0 8554 1970 16159 0 0 16159 642 324330 9136 4426 13910 395841 358223 913 351289 6021 1700 19067 15 888 18164 316 16535 0 16535
"197502" 429752 0 3381 6180 5680 393734 60 7139 21136 11933 0 9203 2201 20808 0 0 20808 574 332682 9134 5013 15764 412168 374800 999 367727 6074 1350 17864 15 1046 16803 318 17836 0 17836
"197503" 441804 0 3008 7997 5152 404643 140 9044 22526 12842 0 9684 2605 18040 0 0 18040 736 341936 9616 4275 16729 424725 384522 1088 377376 6058 1625 18778 50 1246 17482 356 19444 268 19176
"197504" 453372 0 3623 8110 4910 415193 400 10189 23674 13740 0 9934 3053 16460 0 0 16460 610 350711 10096 4400 17136 435993 395616 1194 388223 6199 1984 19080 50 1185 17845 391 18922 887 18035
"197601" 473411 0 3186 8407 5414 433632 700 11561 25553 15826 0 9727 2973 22910 0 0 22910 745 358810 10380 4826 17946 455332 416112 1295 408488 6329 1600 16707 50 900 15757 457 20456 1363 19093
"197602" 488753 0 3016 7515 5765 448235 942 12546 26690 16895 0 9795 3467 21678 0 0 21678 763 371676 10473 4599 19623 470517 429716 1432 421901 6383 1966 16139 65 800 15274 480 22216 1374 20842
"197603" 504724 0 3058 6625 5720 465213 1142 13337 28752 18421 0 10331 3513 21728 0 0 21728 815 385311 10615 4415 19693 486086 443299 1653 434332 7314 1930 16902 140 700 16062 539 23416 1498 21918
"197604" 520097 0 3948 6685 5378 477492 1190 13955 27117 17705 0 9412 3642 21954 0 0 21954 1003 397804 10827 4400 22194 501120 458789 1842 449364 7583 1891 16819 140 817 15862 599 23022 1489 21533
"197701" 541146 0 3413 6747 7436 495739 1235 15324 30717 20149 0 10568 3740 24373 0 0 24373 932 408487 10931 4207 23604 521770 478733 1954 468992 7787 2375 15702 140 1100 14462 652 24308 1546 22762
"197702" 561748 0 3604 6572 8037 513373 1280 15974 31623 20704 0 10919 3844 22808 0 0 22808 1045 425546 11253 4560 25602 541417 493510 2101 482764 8645 2858 17862 644 1501 15717 706 26481 1970 24511
"197703" 581890 0 3503 6395 8688 532528 1325 15596 33185 22037 0 11148 4032 22869 0 0 22869 785 443156 11580 4643 26133 560758 508834 2288 496952 9594 3382 19098 744 1300 17054 760 28684 2196 26488
"197704" 599317 0 3844 6811 7974 548116 1420 15431 34243 22484 0 11759 4028 20813 0 0 20813 975 459446 11760 4800 27772 577325 520817 2480 508431 9906 3923 22720 1295 1252 20173 813 29052 2640 26412
"197801" 618561 0 3393 7227 9719 563963 1520 15312 35319 24020 0 11299 3973 23311 0 0 23311 885 471811 11832 4618 29641 596017 535973 2587 521485 11901 4753 23923 1345 1300 21278 873 30495 3200 27295
"197802" 637219 0 3624 7124 9445 580676 1615 15022 36144 25143 0 11001 4183 22803 0 0 22803 857 487874 12178 4923 31427 613340 547266 2781 530648 13837 5500 28447 1773 1400 25274 947 31180 3536 27644
"197803" 657746 0 3813 7012 10512 599421 1715 13827 38608 26413 0 12195 4411 23422 0 0 23422 1108 503127 13203 5219 31769 632501 561178 2902 542809 15467 5800 33821 1900 2763 29158 1007 30695 3622 27073
"197804" 673785 0 5283 7200 9134 614360 1840 13333 39864 27397 0 12467 4610 23207 0 0 23207 1172 517244 13090 4800 33008 648310 573582 3068 554294 16220 6478 37756 1961 3125 32670 1026 29468 3793 25675
"197901" 693436 0 5492 8146 14012 626802 1970 12980 41402 28835 0 12567 4439 24139 0 0 24139 942 527126 13804 4983 34001 666871 592484 3297 570782 18405 6481 35261 2080 1300 31881 999 31646 4322 27324
"197902" 708705 0 4857 8144 13204 640943 2100 12780 42792 30002 0 12790 4405 20840 0 0 20840 1610 541952 14464 4903 36654 681867 600607 3547 575044 22016 7900 39341 2310 1960 35071 921 33098 4284 28814
"197903" 725286 0 5616 5327 14681 658891 2217 11948 43541 30978 0 12563 4277 22903 0 0 22903 2168 555237 16600 5064 35707 697624 608756 3773 578521 26462 9748 43806 2910 2300 38596 838 34476 4043 30433
"197904" 733487 0 5245 5000 12022 671877 2580 11710 44901 32408 0 12493 4080 21353 0 0 21353 2246 565014 19993 4700 34643 705594 616029 3909 580565 31555 8068 47907 3379 2690 41838 791 32799 4809 27990
"198001" 745067 0 6228 5838 12601 680086 2930 11648 46267 33719 0 12548 3931 23494 0 0 23494 1403 569986 20427 4165 36149 717174 624535 4087 584972 35476 8532 50101 3479 2500 44122 782 33224 5378 27846
"198002" 752210 0 6354 5600 13541 687395 3270 11467 47761 35207 0 12554 3831 25546 0 0 25546 1441 573244 20835 4319 35001 725026 635562 4364 592611 38587 8598 47898 3711 1823 42364 799 32169 5784 26385
"198003" 769611 0 6080 6504 14239 703497 3618 13240 52403 38481 0 13922 3894 24191 0 0 24191 1843 583204 21104 4307 34984 742985 649203 4798 602958 41447 8335 50694 3733 2800 44161 825 33928 5315 28613
"198004" 792380 0 6864 7533 12342 722711 3800 13202 55161 41241 0 13920 3580 27299 0 0 27299 2727 594290 22652 4200 38730 765842 665266 5009 616152 44105 10123 55375 3734 2678 48963 840 34238 5480 28758
"198101" 800879 0 7504 7234 14435 729950 3980 13388 56805 42432 0 14373 3615 26276 0 0 26276 3241 599597 23048 3963 37793 775730 675194 8541 620239 46414 9797 55375 3500 2700 49175 851 34513 6028 28485
"198102" 811622 0 7658 7376 15149 738766 4160 13493 58234 44040 0 14194 3644 24213 0 0 24213 4074 607422 23526 3690 38983 788523 674871 10383 615642 48846 12795 62191 3277 2819 56095 861 37805 5876 31929
"198103" 820016 0 8398 5800 15314 745652 4339 13478 60158 45574 0 14584 3623 24143 0 0 24143 4635 611878 23398 3188 41664 799488 676096 11763 612092 52241 11768 71347 3000 4000 64347 871 39406 5703 33703
"198104" 828825 0 8913 6791 16807 748725 5100 13257 62714 48095 0 14619 3593 24008 0 0 24008 3908 612159 23986 3237 44352 810523 688471 12812 621879 53780 15339 71377 3225 2958 65194 880 34456 5910 28546
"198201" 842138 0 9296 9286 17565 753652 5850 13617 69509 54854 0 14655 3454 25255 0 0 25255 4616 607496 23855 2863 49476 826803 699422 13742 628205 57475 14213 72587 2925 3500 66162 890 39691 5881 33810
"198202" 857067 0 10474 11393 18318 755721 6600 13548 76876 62430 0 14446 3326 23637 0 0 23637 4604 602905 24225 2661 58500 843402 703532 15048 629576 58908 15481 75698 2700 3600 69398 900 47791 5714 42077
"198203" 853918 0 11609 11745 18408 750341 7349 13248 82024 68111 0 13913 3142 24673 0 0 24673 5324 589300 25281 2887 58928 841753 714853 16660 636933 61260 16068 74217 3175 3400 67642 910 35705 5685 30020
