"DATES" "FL764035605.Q" "FL763069175.Q" "FL763065005.Q" "FL723066000.Q" "FL763067005.Q" "FL763068005.Q" "FL723068005.Q" "FL753068005.Q" "FL733068003.Q" "FL743068005.Q" "FL713068005.Q" "FL773068005.Q" "FL893168005.Q" "FL293168005.Q" "FL153168005.Q" "FL103168005.Q" "FL113168003.Q" "FL133168000.Q" "FL263168005.Q" "FL263168465.Q" "FL263168475.Q" "FL263168485.Q" "FL693168005.Q" "FL443168005.Q" "FL613168000.Q" "FL643168003.Q" "FL663168005.Q" "FL713068505.Q"
"198401" 1175802 13415 343888 219840 27730 570929 502069 60503 2300 6057 0 570929 570929 532884 22227 355632 78875 39564 36586 8579 13018 14989 38045 6880 30805 360 0 0
"198402" 1224036 13117 356489 236045 26579 591806 523445 60045 1970 6346 0 591806 591806 549389 17177 371567 83389 41347 35909 9628 12679 13602 42417 7867 34169 381 0 0
"198403" 1251549 14044 367853 248051 27367 594234 525079 60112 2400 6643 0 594234 594234 551454 14993 373015 88172 41634 33640 8765 11250 13625 42780 7855 34530 395 0 0
"198404" 1308242 12553 381379 258844 34455 621011 546819 64369 2797 7026 0 621011 621011 576180 21996 391134 92352 39907 30791 7602 11004 12185 44831 8925 35506 400 0 0
"198501" 1317214 9143 390072 267381 30758 619860 546055 63492 2800 7513 0 619860 619860 578844 19281 398522 94052 38323 28666 6461 9800 12405 41016 8656 31950 410 0 0
"198502" 1357086 10154 402706 276513 37952 629761 553160 65559 2915 8127 0 629761 629761 590676 28231 399473 95401 40132 27439 6353 9966 11120 39085 8815 29795 475 0 0
"198503" 1397346 9304 417224 286728 38946 645144 563184 70753 2500 8707 0 645144 645144 598562 25628 407305 96764 39112 29753 6702 11383 11668 46582 10517 35495 570 0 0
"198504" 1445254 9696 431234 297227 45438 661659 574594 75847 2127 9091 0 661659 661659 617071 31026 424083 98510 35507 27945 6193 9663 12089 44588 10856 33052 680 0 0
"198601" 1458396 9437 443166 296270 49299 660224 572989 75943 2000 9292 0 660224 660224 617800 29768 427557 99680 33749 27046 6077 9088 11881 42424 10094 31560 770 0 0
"198602" 1490571 8922 458258 304100 45342 673949 582078 80519 2023 9329 0 673949 673949 620514 23678 433714 100508 34170 28444 6502 10605 11337 53435 11030 41545 860 0 0
"198603" 1511548 7573 476780 311443 40454 675298 578480 84938 2584 9296 0 675298 675298 615399 19920 434114 101479 33702 26184 5935 9596 10653 59899 12182 46767 950 0 0
"198604" 1603328 8575 504687 320187 39631 730248 619622 97738 3598 9290 0 730248 730248 673315 30977 481105 103078 31240 26915 6178 10699 10038 56933 10213 45700 1020 0 0
"198701" 1580286 7839 522903 309795 36409 703340 587020 102928 4111 9281 0 703340 703340 652382 26438 465939 105316 28759 25930 6991 8568 10371 50958 9802 40011 1145 0 0
"198702" 1624448 8015 547675 316822 37512 714424 595662 105369 4155 9238 0 714424 714424 662555 27676 470842 108200 30396 25441 5970 9054 10417 51869 10361 40238 1270 0 0
"198703" 1659712 7024 570016 325602 40795 716275 595173 108242 3675 9185 0 716275 716275 669819 33449 470389 111210 30642 24129 5911 8399 9819 46456 9799 35257 1400 0 0
"198704" 1706252 11219 594796 334090 34377 731770 603378 115099 4145 9148 0 731770 731770 683140 31852 485101 113825 29053 23309 5266 7821 10222 48630 9730 37380 1520 0 0
"198801" 1724456 7980 611363 333855 38623 732635 602239 115485 5698 9213 0 732635 732635 687271 28641 491720 116091 28106 22713 4952 7794 9967 45364 10374 33271 1719 0 0
"198802" 1777310 7968 635952 341529 35855 756006 616144 125051 5472 9339 0 756006 756006 705811 27719 507241 118052 30293 22506 4563 8081 9862 50195 10096 38082 2017 0 0
"198803" 1809794 9463 657575 351421 35491 755844 616983 123904 5483 9474 0 755844 755844 709022 29103 506460 120049 30775 22635 5167 8105 9363 46822 9649 35066 2107 0 0
