"DATES" "FL144090005.Q" "FL103091003.Q" "FL143020005.Q" "FL143030005.Q" "FL123034005.Q" "FL102050003.Q" "FL124004005.Q" "FL103069100.Q" "FL143061105.Q" "FL103061703.Q" "FL143062005.Q" "FL123065005.Q" "FL123066005.Q" "FL103064203.Q" "FL143070005.Q" "FL143090005.Q" "FL144190005.Q" "FL144104005.Q" "FL103169100.Q" "FL103162005.Q" "FL103163003.Q" "FL143168005.Q" "FL143169005.Q" "FL143165005.Q" "FL143170005.Q" "FL143178005.Q" "FL143190005.Q"
"197702" 1002083 4744 88575 39781 74 1848 76615 9442 19386 2682 4396 16518 24191 895 355262 434289 1666232 994522 12914 14079 285712 216712 107467 357638 239530 31819 400361
"197703" 1035130 4914 89050 41126 130 2167 77747 8984 19178 2375 5068 17731 24411 841 373504 445651 1718039 1018301 13175 15713 291816 220418 108658 368521 245758 35421 418558
"197704" 1075864 5686 96131 47583 200 2115 80849 9390 18968 2672 4370 19091 26358 790 366382 476128 1775136 1054318 12808 17377 299491 227040 116198 381405 262869 38005 419943
"197801" 1108837 7097 90149 47745 255 2376 79218 10332 17725 2897 3635 20071 24558 738 387691 493568 1838028 1084139 13719 18702 303936 237991 118901 390890 266127 41101 446661
"197802" 1138938 7450 93380 48713 268 2272 80257 9330 16971 3358 4429 21115 25054 667 412451 493480 1895498 1125168 14419 20838 310353 249882 125848 403827 278880 36205 455245
"197803" 1182026 6457 95116 48565 349 2038 80488 9061 15835 2779 4976 22319 25518 615 439696 508702 1958213 1152641 14992 23017 315522 253717 129918 415474 286330 40066 479176
"197804" 1232519 8317 105722 53704 610 2509 86759 9512 18254 2773 4611 23653 27956 618 433299 540981 2040145 1188411 15499 25041 320607 262980 137987 426297 311389 44006 496339
"197901" 1282324 12524 104043 53027 1028 3434 86214 8896 17711 3364 4885 25314 26044 680 465455 555919 2124869 1223751 17665 27366 324975 272873 144661 436211 316705 49457 534956
"197902" 1320720 11273 102999 52444 1581 2949 91064 8604 20848 3430 4620 26929 26633 800 487885 569725 2203452 1274460 20564 29681 330267 287252 155383 451312 332939 45212 550842
"197903" 1389252 9777 103703 57541 2246 2685 86872 7732 16879 2570 4003 28417 27271 939 520103 605386 2304432 1314337 23828 32325 334133 299222 158768 466061 351394 50597 588104
"197904" 1432612 10080 114689 61683 3000 3116 91106 9586 16277 1800 4458 29804 29181 1060 509809 638069 2392168 1347028 24518 35028 337915 308118 168121 473329 375393 53781 615965
"198001" 1458525 9174 113057 60285 3757 2334 93800 10176 16935 1933 7715 31718 25323 1177 542195 632746 2486069 1387656 31052 37147 343860 316577 174948 484072 378213 59894 660306
"198002" 1473874 8564 115496 58764 4432 3023 91854 9757 12423 1969 7878 33842 25985 1304 541772 648665 2532935 1409919 36334 40024 355030 305961 179864 492705 372951 54360 695705
"198003" 1559810 8670 116775 60322 5389 3443 98010 9264 16197 1679 7319 36513 27038 1421 562227 703553 2624965 1436909 32189 42743 362374 317090 179894 502619 381501 57579 748976
"198004" 1613476 9696 117123 69253 6993 3887 106122 9132 16261 2205 9362 39611 29551 1507 561845 737050 2696100 1478092 28026 45892 365570 337165 187434 514006 410333 59192 748483
"198101" 1742136 9384 111988 75704 9437 3459 102616 8799 15321 2243 5021 43399 27833 1541 605062 822945 2858852 1513070 31837 48925 371608 335585 198877 526238 429918 61994 853869
"198102" 1776013 9411 108277 75574 12915 2925 111569 8163 20172 3864 3199 47346 28825 1504 622610 831228 2918514 1572212 37819 52894 379240 350527 210119 541613 439379 56191 850732
"198103" 1806198 10495 104552 74591 16288 1514 120190 8021 23076 4475 3986 51659 28973 1498 638626 838444 3003335 1622678 44081 56029 383712 367159 216582 555114 437207 58274 885177
"198104" 1840082 12386 98485 80671 18416 1784 133126 8199 21950 5779 10606 56245 30347 1624 611151 882439 3049692 1661972 42722 59323 390331 380065 226197 563334 443387 53608 890725
"198201" 1859588 10066 95035 80616 19547 1820 126086 7908 19110 3809 8858 58351 28050 1882 619534 905002 3133482 1704633 49836 62963 398241 390391 229055 574147 432640 52994 943216
"198202" 1867858 11310 95410 77346 19930 2452 123746 8236 15750 3837 6708 60313 28902 2265 627596 907803 3189090 1753414 51741 66287 403341 409945 234609 587492 438039 47021 950615
"198203" 1924226 8268 97156 85392 19711 3305 127752 7731 18164 2506 8272 61908 29171 2689 641153 938800 3270285 1790842 49726 70589 411321 423478 237435 598293 441733 49204 988506
"198204" 1962649 10063 112599 91673 19031 2435 141697 7948 24255 3322 12178 63207 30787 3070 614124 967957 3304563 1811441 37614 74466 420997 430591 237088 610685 458624 50820 983679
"198301" 2014000 11580 108481 92246 17526 3278 146819 8071 28391 2830 14440 64198 28889 3409 628486 1002175 3356828 1859184 41187 76920 427194 430694 239482 643707 439385 57185 1001074
"198302" 2085297 11545 117165 97666 14825 3899 156917 9343 31581 3753 16085 65410 30745 3707 651607 1027966 3416805 1899396 38849 79803 438317 431204 249410 661812 443710 53628 1020071
"198303" 2125293 13176 124328 97393 12259 3847 155845 9943 29491 3141 14241 67163 31866 4044 680734 1033667 3483043 1940134 40547 81876 442938 436542 255700 682532 440990 57706 1044213
"198304" 2169311 14393 142662 101674 11153 3248 175521 12188 36167 4187 18268 69346 35365 4501 678921 1037238 3550270 1999145 36775 83897 446980 455323 269724 706445 466346 55727 1029052
"198401" 2258671 15541 156511 99993 11509 4127 190717 12632 44240 2548 23572 74649 33076 5034 716809 1058430 3689361 2071174 42518 85897 455202 474071 282924 730562 474886 60422 1082879
"198402" 2345144 16503 152314 99091 13318 5917 195530 11246 43437 3291 23026 79964 34566 5604 749377 1107490 3827067 2163251 53463 88116 463644 496303 298913 762812 495206 56920 1111690
"198403" 2440018 12418 153186 95221 15272 3928 195552 11189 39660 3715 20664 85344 34980 6295 775691 1182455 3949051 2230488 60349 90480 477439 502821 309813 789585 496076 57777 1164710
"198404" 2470132 13284 160848 104224 16062 3919 208627 9742 41948 5319 22483 90757 38378 7193 753413 1202562 4003339 2325082 58490 104439 495058 523393 328513 815189 505799 60318 1112141
"198501" 2542526 12568 150844 109420 15820 8081 197619 10202 35624 4183 18276 93828 35506 8651 785332 1254191 4141712 2378510 62972 106139 513558 530897 335991 828954 502997 61330 1198875
"198502" 2597508 11895 159604 104764 14675 4225 221967 9798 48218 3502 26658 96700 37091 10112 798095 1272171 4250711 2448878 68886 110639 535693 535006 341169 857484 508875 57964 1234995
"198503" 2653925 12514 173424 108177 14413 4794 213630 9326 41501 3533 22113 99057 38100 10393 809283 1307297 4359608 2492404 69036 116039 554766 543181 344076 865305 506758 61746 1298700
"198504" 2774559 16023 198320 109901 14520 3374 230424 10478 46856 4017 25572 100996 42505 10799 803140 1388058 4487623 2577496 72207 127039 578234 558100 359295 882621 546988 60605 1302534
