"DATES" "FL404090005.Q" "FL403020005.Q" "FL403030005.Q" "FL402050005.Q" "FL404004005.Q" "FL403069105.Q" "FL403061105.Q" "FL403061705.Q" "FL403062005.Q" "FL403063005.Q" "FL403069305.Q" "FL403069385.Q" "FL403069345.Q" "FL403069330.Q" "FL403065005.Q" "FL403065105.Q" "FL403065405.Q" "FL403065605.Q" "FL403066005.Q" "FL403093005.Q" "FL404190005.Q" "FL404104005.Q" "FL403161705.Q" "FL403169283.Q" "FL403190005.Q"
"198303" 253972 623 0 13604 233311 520 3864 320 564 0 89063 2051 29150 57862 133975 79822 5293 48860 5005 6434 246859 208580 203580 5000 38279
"198304" 256520 765 0 12569 236438 783 1824 497 742 0 90113 2596 28564 58953 137898 83685 5284 48929 4581 6748 249577 211780 206780 5000 37797
"198401" 262030 764 0 13279 240271 754 2412 205 886 0 89731 2923 29200 57608 141926 87569 5336 49021 4357 7716 254855 217323 212323 5000 37532
"198402" 273983 663 0 12746 252480 619 3048 426 1011 0 97760 3069 28832 65859 144588 89128 6157 49303 5028 8094 266754 226368 221368 5000 40386
"198403" 288762 952 0 13171 265687 452 6411 755 1124 0 105110 3165 28940 73005 146406 90598 6281 49527 5429 8952 281362 238824 233824 5000 42538
"198404" 297722 1346 0 20912 265935 683 2707 725 1232 0 104892 3342 26929 74621 150123 94426 6510 49187 5573 9529 290245 242210 237210 5000 48035
"198501" 301030 944 0 18115 272567 526 5333 250 1326 0 104114 3573 25850 74691 155376 99584 6752 49040 5642 9404 293407 246132 241132 5000 47275
"198502" 314180 1147 0 21372 282239 430 6720 928 1398 0 108465 3832 25004 79629 158216 102889 7277 48050 6082 9422 306262 254936 249936 5000 51326
"198503" 324461 2008 0 21349 293319 351 10557 1150 1476 0 114398 4093 24560 85745 158983 104812 7811 46360 6404 7785 317035 258832 253532 5300 58203
"198504" 323951 2129 0 26909 290993 98 6786 799 1589 0 115188 4330 22023 88835 159734 111639 8457 39638 6799 3920 318754 263880 257795 6085 54874
"198601" 323479 2106 0 27825 289104 36 10035 379 1742 0 112550 4540 20779 87231 157415 111517 7872 38026 6947 4444 318850 262753 256553 6200 56097
"198602" 328541 2450 0 27597 297980 40 13315 188 1941 0 120240 4715 20685 94840 154448 108912 9139 36397 7808 514 324125 267790 261301 6489 56335
"198603" 336909 2662 0 33048 299762 82 13844 209 2133 0 123367 4905 19426 99036 152140 107951 9440 34749 7987 1437 332181 273279 267223 6056 58902
"198604" 346434 3657 0 29396 307558 87 16288 200 2268 0 132766 5158 18963 108645 147775 105943 8731 33101 8174 5823 341839 278730 273010 5720 63109
"198701" 343429 3065 0 29098 303617 104 18578 220 2293 0 130106 5298 18048 106760 144011 103920 8200 31891 8305 7649 338543 273376 268376 5000 65167
"198702" 349002 2366 0 31444 306101 69 15114 200 2465 0 138880 6268 18277 114335 140414 101270 8476 30668 8959 9091 343666 280741 275771 4970 62925
"198703" 353395 2093 0 27805 314829 34 17056 165 2627 0 145095 6493 18512 120090 140290 102506 8353 29431 9562 8668 348101 288695 283725 4970 59406
"198704" 374384 3587 0 27189 330912 40 20990 126 2443 0 157811 6602 18151 133058 139459 102840 8425 28194 10043 12696 368844 308184 303214 4970 60660
"198801" 390165 3353 0 39023 334936 262 24459 475 2423 0 154341 6321 18514 129506 142285 106069 8596 27620 10691 12853 383710 318489 313519 4970 65221
"198802" 391386 3140 0 34687 339806 200 20108 400 2470 0 160429 6251 19343 134835 144704 108749 8909 27046 11495 13753 384581 322852 317882 4970 61729
"198803" 404340 3301 0 37546 347992 200 21301 400 2310 0 167533 6425 19546 141562 143781 108159 9156 26466 12467 15501 397728 333457 328487 4970 64271
"198804" 421722 3556 0 33782 364169 395 26261 339 2926 0 176589 6314 17494 152781 144457 109044 9528 25885 13202 20215 414837 353067 348097 4970 61770
"198901" 437845 3101 0 40715 375943 400 27272 321 2737 0 187820 6338 17699 163783 143720 108372 9843 25505 13673 18086 430052 369286 364316 4970 60766
"198902" 444052 3400 0 60350 357281 800 7264 570 2688 0 186371 5944 18553 161874 145345 109892 10334 25119 14243 23021 435834 373956 368986 4970 61878
"198903" 449542 3169 0 58721 359222 1397 14714 1383 2761 0 176086 6276 18700 151110 147965 112360 10876 24730 14916 28430 442120 375399 370429 4970 66721
"198904" 454242 2284 0 61793 359906 3251 12990 6262 2903 0 167980 6800 19383 141797 150491 114121 12029 24341 16029 30259 446329 378297 373327 4970 68032
"199001" 452740 2055 0 59695 361633 3027 18507 8008 3137 0 159401 7249 19300 132852 152793 116565 12104 24124 16760 29357 444728 383040 378070 4970 61688
