DATES,FL664090005.Q,FL663020003.Q,FL664004005.Q,FL663069103.Q,FL663061105.Q,FL663061703.Q,FL663062003.Q,FL663063005.Q,FL663069803.Q,FL663064003.Q,FL663067003.Q,FL663090005.Q,FL664190005.Q,FL662150005.Q,FL664104005.Q,FL663163003.Q,FL663168005.Q,FL663170003.Q,FL663167005.Q,FL663167003.Q,FL763067005.Q,FL663178003.Q,FL663190005.Q,FL663192003.Q,FL663194005.Q,FL663193005.Q,tot_asset,tot_liabilities,Leverage,LevFac,LogLev,Z-LevFac,Z-LogLev,No Seasonal-Adj LevFac,No Seasonal-Adj LogLev
1982Q3,58017,4557,17758,14399,-4991,0,3108,5242,0,3283,20798,11621,50818,-1875,0,0,0,2450,40422,17579,22843,406,9415,1629,5589,2197,58017,50818,8.059035977219057,0.06120691057928691,2.0867939435611054,0.22768068347719403,-1.0349796438673375,0.0684452502984552,-1.0349796438673375
1982Q4,83275,4504,36187,16447,9199,0,4628,5913,0,4921,25791,11872,74904,24344,0,0,0,2600,44053,17838,26215,643,3264,1799,5689,-4224,83275,74904,9.94803488233186,0.14774339370185685,2.297375032401824,0.8692406094648836,-0.7114452101439152,1.4909083115057125,-0.7114452101439152
1983Q1,70559,3952,19159,8315,3492,0,3319,4033,0,5099,26743,15606,61580,2004,46,46,0,2692,44365,21354,23011,649,11824,1936,5588,4300,70559,61580,7.858224746631028,-0.1109684471053327,2.061560721723835,-1.0487845222625893,-1.0737476841651716,-1.5496958355989525,-1.0737476841651716
1983Q2,77507,4013,19032,8954,-871,0,3821,7128,0,7423,32758,14281,67786,796,74,74,0,3221,48663,22345,26318,520,14512,1998,5988,6526,77507,67786,7.9731509104001645,0.030215809161187504,2.076079761022176,-0.0020796212478215253,-1.0514407942945911,0.15543961812055526,-1.0514407942945911
1983Q3,83060,3421,25032,10208,4483,0,3614,6727,0,7470,33781,13356,73115,11214,122,122,0,3083,45674,21581,24093,494,12528,2073,6055,4400,83060,73115,8.351935646053294,0.10030092864268057,2.122493325896672,0.517513993432573,-0.9801315114362733,0.3726878846603815,-0.9801315114362733
1983Q4,90463,3641,25539,11598,-473,0,6472,7942,0,10005,34177,17101,80056,8403,377,377,0,5086,49218,20557,28661,486,16486,2250,6692,7544,90463,80056,8.69251465359854,-0.021665131922036764,2.162462270673384,-0.38671199271108836,-0.9187236709409791,0.3287906164157642,-0.9187236709409791
1984Q1,80859,3726,19493,10641,-2602,0,3696,7758,0,8127,31723,17790,70740,5526,128,128,0,4027,46106,18376,27730,410,14543,2660,7461,4422,80859,70740,7.990809368514675,0.03864186297195232,2.0782920523343615,0.06038904242026152,-1.0480418546231347,-0.5167782550259437,-1.0480418546231347
1984Q2,74790,3525,14695,11596,-7718,0,3370,7447,0,7653,32657,16260,64997,-829,337,337,0,4133,45525,18946,26579,266,15565,2804,5892,6869,74790,64997,7.637087715715307,-0.02809999395626627,2.033016341464919,-0.4344184566376833,-1.1176029512924102,-0.25184989590955204,-1.1176029512924102
1984Q3,89356,3488,27278,13092,491,0,4944,8751,0,9111,30415,19064,78858,10347,515,515,0,4727,45762,18395,27367,431,17076,2847,7785,6444,89356,78858,8.511716517431891,0.15419891795109317,2.141443628171569,0.9171002579057109,-0.9510164786042696,0.7950918341265799,-0.9510164786042696
1984Q4,118406,3904,54122,17301,12140,0,11008,13673,0,8914,31834,19632,108142,25512,1071,1071,0,5465,56028,21573,34455,428,19638,3716,7520,8402,118406,108142,11.536048324240062,0.23027911142506102,2.445476769528277,1.4811398575408568,-0.4839033548023596,2.1274531745171217,-0.4839033548023596
1985Q1,91090,3937,26648,10499,-1600,1220,4511,12018,0,10957,30614,18934,80205,1693,382,382,0,4199,51752,20994,30758,482,21697,3461,8804,9432,91090,80205,8.368396876435462,-0.18876414680675666,2.124462334070208,-1.625542457663233,-0.9771063492627431,-2.1300330277372628,-0.9771063492627431
1985Q2,107893,3751,34157,12618,-3507,2440,5498,17108,0,12039,36878,21068,96226,7700,548,548,0,5280,62982,25030,37952,566,19150,3436,9421,6293,107893,96226,9.247707208365476,0.11151336597782785,2.2243756514337507,0.6006402103449233,-0.8236006440135265,0.7370992774808673,-0.8236006440135265
1985Q3,113608,4200,39456,13928,-3436,3660,6133,19171,0,10615,38968,20369,100972,7994,622,622,0,5699,63865,24919,38946,624,22168,3446,15289,3433,113608,100972,8.990819879708768,0.016761926870062213,2.196204043402873,-0.10182335262543997,-0.8668831880516681,-0.13534599358547378,-0.8668831880516681
1985Q4,156016,6275,58195,14549,-4011,4880,19922,22855,0,14070,50699,26777,141328,23743,1342,1342,0,7998,80489,35051,45438,773,26983,3848,16026,7109,156016,141328,10.622004357298476,0.08854253226677021,2.3629277322146285,0.43034017221339915,-0.6107307740578756,1.1921754111374023,-0.6107307740578756
1986Q1,179853,5531,72666,16125,14590,6100,8541,27310,0,16599,52848,32209,163025,36508,990,990,0,6745,90275,40976,49299,654,27853,3958,17339,6556,179853,163025,10.687722842880913,0.13212650303815046,2.3690956848413784,0.7534608729094449,-0.6012544005083122,0.0985565301813706,-0.6012544005083122
1986Q2,181731,5225,71529,18140,12498,7320,7737,25834,0,16027,52842,36108,163425,35144,1696,1696,0,7294,84369,39027,45342,643,34279,4056,27102,3121,181731,163425,9.927400852179613,-0.05936980583181775,2.295298696784237,-0.6662450512557336,-0.7146352690041577,-0.4461214179528812,-0.7146352690041577
1986Q3,171340,6196,70014,15109,11164,8540,10210,24991,0,16727,55521,22882,152340,33669,1322,1322,0,7077,77487,37033,40454,638,32147,4124,22258,5765,171340,152340,9.017894736842106,-0.04882906112684664,2.1992109073694577,-0.5880985961565821,-0.8622634758255235,-0.5979543067402542,-0.8622634758255235
1986Q4,184585,8450,66254,12599,4120,9760,16595,23180,0,17721,57429,34731,164304,35566,3397,3397,0,7632,83646,44015,39631,932,33131,3624,19387,10120,184585,164304,9.101375671811054,-0.06583164867738542,2.2084255748238486,-0.7141515441955332,-0.8481061636318298,0.11930910458056566,-0.8481061636318298
1987Q1,169052,6775,51374,10042,-6126,10908,12233,24317,0,18314,53567,39022,148340,24017,2952,2952,0,8787,79070,42661,36409,956,32558,4809,19741,8008,169052,148340,8.16203167246041,0.016285828126662877,2.0994931174539593,-0.10535303009275139,-1.0154687748866595,-0.685445241222552,-1.0154687748866595
1987Q2,159247,6312,36325,11354,-17144,12200,8357,21558,0,17614,56889,42107,138975,13669,3340,3340,0,8424,79102,41590,37512,658,33782,5413,20408,7961,159247,138975,7.85551499605367,-0.02281314184422245,2.0612158323914938,-0.3952230522565448,-1.0742775682846364,-0.20418040255267214,-1.0742775682846364
1987Q3,161205,5968,30299,12846,-26607,13420,7971,22669,0,20423,59395,45120,140386,7692,4022,4022,0,8892,82145,41350,40795,550,37085,5754,24073,7258,161205,140386,7.743167299101782,0.031425289322114185,2.0468108156675897,0.006887163332834956,-1.0964092751449324,-0.04157541560772163,-1.0964092751449324
1987Q4,137948,7448,39779,14150,-16685,14640,8286,19388,0,10685,41797,38239,114509,-8805,3248,3248,0,6828,73480,39103,34377,394,39364,3130,36717,-483,137948,114509,5.885404667434617,-0.3341911252377828,1.7724755008689568,-2.703701843764844,-1.5178949898039884,-1.8120800918125002,-1.5178949898039884
1988Q1,146545,9656,42765,14564,-15703,15860,6006,22038,0,11495,40625,42004,122006,-2468,3498,3498,0,8300,78831,40208,38623,459,33386,3774,50925,-21313,146545,122006,5.971922246220302,0.13398615931038843,1.7870688598702011,0.7672479011931072,-1.4954739159716586,0.1559458437606566,-1.4954739159716586
1988Q2,144187,10951,34283,17381,-31253,17080,7375,23700,0,11075,41231,46647,117227,-8358,5327,5327,0,9413,77077,41222,35855,489,33279,2094,52666,-21481,144187,117227,5.348182492581603,-0.09089593720528796,1.676756782176875,-0.8999719347713699,-1.6649561604877356,-0.694842469064494,-1.6649561604877356
1988Q3,137822,10172,33693,14158,-31306,18300,6967,25574,0,11881,42131,39945,112209,-10365,5511,5511,0,9012,74362,38871,35491,507,33182,3921,54261,-25000,137822,112209,5.380939366727834,0.049772466020664624,1.6828629624132894,0.14290856032135074,-1.6555746933489852,0.09813577005159918,-1.6555746933489852
1988Q4,135870,9390,23518,14773,-47396,19520,7480,29141,0,12233,43506,47223,111468,-21885,7517,7517,0,8548,74790,40886,33904,543,41955,4795,60666,-23506,135870,111468,5.567986230636833,-0.02461510098729329,1.7170334500830897,-0.40858232839934716,-1.6030755376120511,0.2892946611592963,-1.6030755376120511
